SensorID,DataType,SeqNo,TimeStamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
0,255,248,53895,941,2084,1893,1835,1838,1862
0,255,249,53895,944,2070,1879,1835,1839,1863
0,255,250,53895,965,2077,1852,1834,1836,1861
0,255,251,53895,944,2096,1874,1835,1838,1863
0,255,252,53895,955,2088,1878,1835,1839,1862
0,255,253,53895,946,2092,1872,1834,1838,1862
0,255,254,53911,968,2079,1870,1835,1838,1862
0,255,255,53927,932,2067,1864,1834,1837,1863
0,255,0,53942,964,2098,1878,1835,1839,1863
0,255,1,53958,970,2088,1877,1835,1839,1862
0,255,2,53973,970,2084,1884,1834,1837,1861
0,255,3,54005,956,2086,1884,1834,1838,1862
0,255,4,54036,956,2087,1880,1835,1838,1862
0,255,5,54036,934,2079,1877,1835,1838,1861
0,255,6,54067,951,2067,1871,1836,1839,1862
0,255,7,54083,936,2078,1856,1834,1838,1863
0,255,8,54114,971,2078,1855,1834,1838,1861
0,255,9,54114,955,2083,1861,1836,1839,1861
0,255,10,54145,968,2094,1883,1835,1838,1861
0,255,11,54176,941,2080,1856,1834,1838,1861
0,255,12,54176,945,2062,1859,1834,1839,1863
0,255,13,54192,957,2086,1873,1835,1838,1861
0,255,14,54223,958,2090,1879,1835,1839,1862
0,255,15,54254,932,2094,1872,1835,1838,1863
0,255,16,54254,938,2110,1869,1835,1838,1862
0,255,17,54285,948,2088,1859,1836,1839,1863
0,255,18,54285,933,2094,1877,1834,1838,1862
0,255,19,54317,938,2104,1865,1835,1838,1863
0,255,21,54363,940,2083,1859,1834,1838,1862
0,255,22,54379,950,2095,1882,1836,1838,1862
0,255,23,54395,952,2077,1876,1836,1839,1863
0,255,24,54410,947,2091,1864,1834,1838,1862
0,255,25,54441,957,2091,1884,1836,1839,1863
0,255,26,54441,928,2086,1862,1834,1837,1861
0,255,27,54473,946,2091,1869,1835,1838,1862
0,255,28,54504,953,2089,1863,1833,1838,1863
0,255,29,54504,946,2095,1866,1834,1838,1861
0,255,30,54535,951,2079,1866,1836,1839,1862
0,255,31,54566,961,2075,1886,1833,1837,1862
0,255,32,54566,942,2093,1877,1834,1840,1861
0,255,33,54582,950,2091,1873,1835,1838,1862
0,255,34,54613,939,2081,1872,1834,1838,1860
0,255,35,54644,951,2097,1859,1834,1839,1862
0,255,36,54644,933,2100,1880,1835,1839,1863
0,255,37,54675,957,2071,1858,1835,1839,1861
0,255,38,54691,954,2075,1870,1835,1838,1862
0,255,39,54707,949,2076,1862,1835,1838,1862
0,255,40,54738,915,2105,1864,1834,1838,1862
0,255,41,54753,942,2079,1883,1835,1839,1862
0,255,42,54753,952,2079,1886,1834,1837,1861
0,255,43,54785,958,2088,1885,1834,1837,1862
0,255,44,54785,943,2078,1884,1834,1839,1863
0,255,45,54816,958,2092,1846,1835,1838,1862
0,255,46,54863,938,2090,1876,1833,1838,1862
0,255,47,54863,969,2096,1875,1834,1838,1862
0,255,48,54863,951,2090,1874,1834,1838,1862
0,255,49,54909,957,2081,1879,1835,1839,1862
0,255,50,54941,950,2086,1868,1834,1838,1862
0,255,51,54941,954,2089,1866,1835,1838,1862
0,255,52,54972,953,2096,1861,1834,1839,1862
0,255,53,54987,930,2098,1871,1834,1838,1862
0,255,54,54987,934,2083,1882,1833,1838,1862
0,255,55,55034,948,2093,1875,1833,1837,1861
0,255,56,55050,943,2082,1868,1834,1839,1861
0,255,57,55081,973,2075,1867,1835,1839,1862
0,255,58,55081,943,2080,1872,1834,1838,1862
0,255,59,55081,959,2070,1876,1833,1837,1862
0,255,60,55128,940,2077,1849,1833,1839,1862
0,255,61,55128,952,2069,1865,1834,1839,1862
0,255,62,55143,937,2078,1872,1835,1839,1862
0,255,63,55175,956,2085,1867,1834,1837,1862
0,255,64,55206,946,2074,1885,1834,1838,1862
0,255,65,55206,961,2083,1871,1835,1840,1862
0,255,66,55237,936,2068,1884,1834,1839,1862
0,255,67,55253,963,2097,1874,1834,1838,1861
0,255,68,55268,937,2109,1873,1833,1840,1863
0,255,69,55315,965,2085,1866,1834,1838,1861
