SensorID,DataType,SeqNo,TimeStamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
0,255,11,3659,1924,1110,1801,1835,1839,1863
0,255,12,3659,1938,1083,1813,1834,1838,1864
0,255,13,3659,1937,1110,1813,1834,1838,1862
0,255,14,3659,1943,1102,1826,1836,1838,1863
0,255,15,3659,1949,1120,1807,1835,1838,1862
0,255,16,3659,1944,1103,1819,1834,1838,1862
0,255,17,3674,1922,1107,1808,1835,1838,1862
0,255,18,3674,1946,1100,1804,1835,1838,1862
0,255,19,3706,1944,1113,1795,1836,1837,1862
0,255,20,3706,1944,1092,1790,1834,1839,1863
0,255,21,3752,1944,1112,1797,1834,1838,1863
0,255,22,3752,1937,1093,1797,1835,1839,1863
0,255,23,3784,1923,1100,1824,1835,1838,1862
0,255,24,3799,1927,1089,1809,1836,1838,1862
0,255,25,3815,1940,1108,1828,1835,1839,1863
0,255,26,3830,1949,1096,1835,1835,1837,1862
0,255,27,3862,1943,1112,1792,1835,1838,1862
0,255,28,3862,1948,1096,1799,1833,1839,1863
0,255,29,3893,1928,1108,1810,1834,1838,1862
0,255,30,3924,1932,1098,1816,1835,1839,1863
0,255,31,3940,1938,1100,1815,1834,1836,1861
0,255,32,3955,1938,1099,1810,1834,1837,1863
0,255,33,3971,1944,1096,1805,1836,1839,1863
0,255,34,4002,1959,1110,1821,1835,1838,1862
0,255,35,4002,1937,1094,1826,1835,1839,1862
0,255,36,4033,1942,1096,1828,1834,1839,1863
0,255,37,4064,1926,1100,1821,1834,1838,1862
0,255,38,4064,1950,1097,1809,1836,1837,1862
0,255,39,4096,1932,1105,1809,1836,1839,1863
0,255,40,4111,1948,1095,1824,1835,1838,1862
0,255,41,4142,1940,1102,1819,1836,1839,1863
0,255,42,4142,1946,1121,1833,1834,1838,1861
0,255,43,4174,1932,1099,1828,1835,1839,1862
0,255,44,4189,1953,1109,1800,1834,1837,1863
0,255,45,4189,1951,1107,1824,1834,1835,1862
0,255,46,4220,1942,1104,1821,1836,1839,1863
0,255,47,4236,1951,1110,1804,1834,1838,1862
0,255,48,4267,1940,1097,1833,1835,1838,1862
0,255,49,4283,1936,1103,1808,1835,1837,1862
0,255,50,4298,1933,1107,1809,1834,1838,1862
0,255,51,4314,1941,1093,1822,1835,1838,1862
0,255,52,4361,1955,1103,1826,1833,1837,1863
0,255,53,4361,1938,1092,1814,1834,1838,1862
0,255,54,4392,1944,1090,1810,1835,1839,1863
0,255,55,4392,1940,1093,1808,1833,1837,1861
0,255,56,4423,1929,1106,1817,1835,1838,1863
0,255,57,4423,1940,1093,1814,1836,1839,1863
0,255,58,4454,1944,1097,1822,1834,1838,1862
0,255,59,4486,1932,1107,1817,1835,1839,1863
0,255,60,4501,1933,1111,1808,1834,1838,1864
0,255,61,4532,1940,1096,1801,1834,1839,1862
0,255,62,4532,1945,1115,1827,1835,1838,1862
0,255,63,4564,1923,1097,1822,1833,1837,1861
0,255,64,4564,1939,1121,1815,1835,1838,1861
0,255,65,4610,1968,1069,1809,1835,1839,1863
0,255,66,4610,1940,1101,1806,1835,1838,1861
0,255,67,4642,1932,1096,1819,1835,1839,1862
0,255,68,4657,1933,1119,1819,1834,1838,1863
0,255,69,4688,1934,1093,1812,1835,1840,1863
0,255,70,4688,1928,1110,1816,1835,1839,1861
0,255,71,4735,1927,1087,1799,1835,1839,1862
0,255,72,4735,1950,1106,1824,1835,1838,1862
0,255,73,4751,1949,1101,1823,1834,1839,1863
0,255,74,4782,1940,1118,1804,1834,1838,1862
0,255,75,4813,1934,1108,1817,1833,1838,1862
0,255,76,4813,1955,1108,1808,1834,1838,1863
0,255,77,4813,1950,1101,1827,1834,1838,1862
0,255,78,4844,1940,1097,1838,1835,1839,1862
0,255,79,4876,1947,1098,1814,1835,1840,1863
0,255,80,4891,1934,1101,1794,1835,1838,1862
0,255,81,4907,1921,1092,1825,1834,1840,1863
0,255,82,4922,1947,1110,1831,1834,1838,1862
0,255,83,4954,1932,1108,1820,1832,1838,1862
0,255,84,4969,1956,1103,1801,1833,1837,1863
0,255,85,5000,1935,1096,1816,1834,1839,1862
0,255,86,5000,1939,1102,1815,1835,1839,1862
0,255,87,5032,1941,1107,1819,1834,1839,1861
0,255,88,5063,1956,1092,1801,1835,1838,1862
0,255,89,5063,1942,1112,1826,1833,1840,1864
0,255,90,5094,1941,1091,1801,1835,1839,1862
0,255,91,5125,1934,1104,1804,1834,1838,1862
0,255,92,5141,1937,1095,1823,1834,1838,1863
0,255,93,5141,1932,1103,1815,1834,1839,1862
0,255,94,5172,1943,1104,1807,1835,1839,1863
0,255,95,5172,1935,1120,1808,1834,1838,1861
0,255,96,5203,1930,1100,1813,1834,1838,1863
0,255,97,5234,1942,1113,1811,1833,1839,1863
