SensorID,DataType,SeqNo,TimeStamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
0,255,180,18314,1938,2054,849,1835,1838,1862
0,255,181,18314,1949,2040,846,1834,1838,1863
0,255,182,18314,1933,2051,871,1835,1839,1863
0,255,183,18314,1932,2034,847,1835,1839,1862
0,255,184,18314,1940,2054,865,1834,1838,1862
0,255,185,18314,1939,2047,850,1834,1839,1862
0,255,187,18361,1941,2056,879,1834,1838,1861
0,255,188,18392,1950,2055,861,1835,1838,1862
0,255,189,18392,1932,2038,859,1834,1837,1862
0,255,190,18423,1934,2039,876,1835,1838,1862
0,255,191,18439,1930,2026,867,1835,1839,1862
0,255,193,18470,1934,2047,865,1834,1839,1861
0,255,194,18501,1949,2066,853,1834,1839,1863
0,255,195,18501,1952,2047,858,1834,1838,1862
0,255,196,18548,1938,2050,866,1836,1838,1861
0,255,197,18548,1940,2070,856,1833,1837,1862
0,255,198,18579,1938,2057,849,1834,1839,1862
0,255,199,18610,1935,2048,891,1835,1839,1862
0,255,200,18610,1941,2042,877,1835,1838,1861
0,255,201,18642,1942,2044,870,1834,1839,1862
0,255,202,18642,1941,2052,869,1833,1839,1863
0,255,203,18688,1941,2060,859,1835,1839,1863
0,255,204,18688,1940,2041,873,1835,1838,1862
0,255,205,18720,1943,2043,867,1834,1838,1864
0,255,206,18751,1938,2072,869,1835,1838,1862
0,255,207,18751,1929,2036,872,1835,1839,1862
0,255,208,18782,1953,2052,864,1835,1838,1861
0,255,209,18782,1939,2052,872,1834,1839,1862
0,255,210,18813,1960,2065,845,1836,1839,1863
0,255,211,18829,1940,2055,854,1834,1838,1862
0,255,212,18860,1935,2053,854,1835,1837,1862
0,255,213,18860,1950,2054,868,1834,1838,1863
0,255,214,18891,1932,2050,854,1834,1838,1861
0,255,215,18891,1938,2052,867,1834,1839,1862
0,255,216,18922,1951,2032,869,1834,1838,1862
0,255,217,18922,1931,2052,862,1834,1838,1862
0,255,218,18985,1934,2057,843,1833,1840,1862
0,255,219,18985,1956,2045,887,1834,1838,1862
0,255,220,18985,1920,2051,862,1835,1837,1862
0,255,221,19016,1944,2049,890,1834,1837,1862
0,255,222,19047,1944,2041,854,1835,1838,1862
0,255,223,19047,1934,2045,864,1834,1839,1862
0,255,224,19078,1960,2052,874,1834,1838,1861
0,255,225,19110,1936,2063,871,1834,1839,1862
0,255,226,19110,1948,2043,855,1834,1840,1863
0,255,227,19141,1932,2059,880,1835,1838,1861
0,255,228,19156,1939,2062,863,1835,1838,1862
0,255,229,19188,1947,2044,887,1836,1839,1862
0,255,230,19188,1942,2050,861,1835,1837,1862
0,255,231,19219,1935,2058,859,1835,1839,1862
0,255,232,19219,1932,2051,867,1834,1837,1861
0,255,233,19250,1944,2061,870,1834,1838,1862
0,255,234,19281,1935,2048,859,1833,1840,1862
0,255,235,19297,1955,2039,885,1834,1839,1861
0,255,236,19297,1938,2043,874,1835,1838,1863
0,255,237,19328,1935,2043,869,1834,1838,1862
0,255,238,19359,1957,2051,847,1835,1838,1862
0,255,239,19375,1960,2057,881,1835,1839,1863
0,255,240,19390,1922,2049,874,1834,1837,1861
0,255,241,19422,1943,2053,860,1833,1839,1862
0,255,242,19422,1937,2056,865,1834,1839,1863
0,255,243,19453,1945,2039,904,1835,1838,1862
0,255,244,19484,1932,2041,848,1835,1839,1863
0,255,245,19484,1952,2047,878,1834,1838,1863
0,255,246,19500,1948,2037,885,1835,1839,1862
0,255,247,19531,1942,2051,876,1835,1840,1861
0,255,248,19531,1922,2057,867,1834,1836,1861
0,255,249,19562,1944,2052,845,1834,1840,1861
0,255,250,19578,1945,2056,841,1834,1839,1863
0,255,251,19609,1959,2047,876,1834,1839,1862
0,255,252,19609,1949,2065,866,1835,1838,1863
0,255,253,19640,1930,2055,878,1834,1839,1861
0,255,254,19671,1946,2054,870,1835,1838,1862
0,255,255,19687,1936,2053,882,1835,1839,1861
0,255,0,19702,1958,2055,845,1834,1839,1861
0,255,1,19718,1930,2079,865,1834,1839,1862
0,255,2,19749,1948,2049,874,1835,1840,1863
0,255,3,19749,1927,2051,874,1833,1839,1862
0,255,4,19796,1962,2048,866,1834,1839,1862
0,255,5,19796,1939,2058,851,1832,1838,1863
0,255,6,19827,1958,2047,880,1834,1839,1861
0,255,7,19858,1944,2054,858,1834,1840,1862
