SensorID,DataType,SeqNo,TimeStamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
0,255,207,24177,2915,2091,1861,1835,1839,1864
0,255,208,24177,2900,2083,1895,1834,1837,1861
0,255,209,24177,2903,2099,1884,1835,1838,1862
0,255,210,24177,2905,2090,1868,1835,1840,1863
0,255,211,24177,2918,2093,1887,1836,1838,1862
0,255,212,24177,2904,2103,1888,1835,1838,1863
0,255,213,24177,2909,2091,1891,1835,1838,1862
0,255,214,24193,2919,2093,1883,1835,1838,1862
0,255,215,24224,2906,2087,1883,1836,1839,1862
0,255,216,24224,2915,2093,1862,1834,1837,1861
0,255,217,24271,2926,2101,1881,1835,1839,1863
0,255,218,24271,2906,2088,1889,1835,1838,1862
0,255,219,24287,2927,2100,1878,1835,1838,1861
0,255,220,24333,2891,2088,1865,1835,1838,1863
0,255,221,24333,2908,2085,1871,1834,1838,1862
0,255,222,24349,2920,2101,1869,1835,1838,1863
0,255,223,24380,2911,2098,1894,1835,1839,1862
0,255,224,24396,2916,2080,1862,1835,1838,1861
0,255,225,24411,2908,2091,1869,1834,1839,1861
0,255,226,24443,2924,2100,1878,1834,1840,1863
0,255,227,24458,2917,2121,1892,1834,1838,1862
0,255,228,24458,2908,2073,1881,1834,1838,1862
0,255,229,24489,2916,2088,1884,1835,1838,1863
0,255,230,24505,2900,2093,1875,1835,1838,1862
0,255,231,24536,2922,2101,1885,1835,1839,1863
0,255,232,24567,2920,2096,1871,1834,1838,1861
0,255,233,24567,2922,2083,1882,1833,1838,1862
0,255,234,24567,2923,2083,1883,1835,1839,1863
0,255,235,24599,2931,2083,1882,1835,1838,1862
0,255,236,24630,2918,2085,1873,1836,1838,1863
0,255,237,24645,2928,2092,1885,1833,1837,1863
0,255,238,24677,2920,2110,1879,1834,1838,1863
0,255,239,24677,2925,2099,1876,1835,1839,1861
0,255,240,24692,2885,2087,1874,1836,1837,1862
0,255,241,24723,2914,2097,1878,1833,1839,1863
0,255,242,24739,2895,2084,1885,1834,1839,1863
0,255,243,24770,2935,2089,1876,1834,1838,1862
0,255,244,24770,2918,2092,1882,1835,1838,1862
0,255,245,24801,2914,2101,1856,1835,1838,1863
0,255,246,24833,2922,2072,1887,1835,1838,1862
0,255,247,24833,2925,2086,1866,1835,1839,1862
0,255,248,24864,2917,2092,1874,1835,1838,1862
0,255,249,24879,2899,2098,1883,1834,1839,1862
0,255,250,24911,2909,2084,1894,1834,1839,1863
0,255,251,24911,2910,2096,1888,1835,1838,1862
0,255,252,24942,2916,2102,1868,1835,1838,1862
0,255,253,24942,2907,2092,1883,1833,1837,1863
0,255,254,24973,2911,2103,1867,1834,1838,1861
0,255,255,25004,2903,2076,1872,1835,1839,1862
0,255,0,25004,2929,2091,1875,1834,1838,1860
0,255,1,25035,2920,2093,1882,1834,1838,1862
0,255,2,25051,2906,2102,1881,1834,1839,1863
0,255,3,25098,2936,2085,1876,1835,1839,1863
0,255,4,25098,2889,2076,1880,1835,1838,1862
0,255,5,25129,2933,2089,1880,1833,1837,1861
0,255,6,25129,2923,2094,1871,1835,1838,1862
0,255,7,25145,2922,2110,1911,1835,1838,1861
0,255,8,25176,2906,2106,1885,1834,1837,1861
0,255,9,25207,2922,2110,1883,1834,1839,1862
0,255,10,25207,2900,2064,1885,1834,1839,1863
0,255,11,25238,2930,2105,1881,1834,1838,1862
0,255,12,25269,2918,2086,1871,1836,1837,1861
0,255,13,25269,2908,2091,1887,1834,1838,1862
0,255,14,25301,2916,2083,1864,1834,1838,1861
0,255,15,25316,2908,2109,1904,1836,1839,1862
0,255,16,25316,2915,2086,1883,1834,1838,1862
0,255,17,25347,2900,2080,1884,1835,1839,1862
0,255,18,25379,2921,2087,1889,1834,1839,1863
0,255,19,25379,2922,2092,1887,1834,1838,1861
0,255,20,25410,2912,2081,1872,1835,1839,1863
0,255,21,25410,2920,2094,1881,1834,1839,1862
0,255,22,25441,2902,2086,1860,1833,1838,1860
0,255,23,25457,2914,2093,1867,1836,1839,1863
0,255,24,25488,2909,2093,1881,1834,1838,1862
0,255,25,25503,2913,2102,1898,1835,1840,1862
0,255,26,25519,2909,2085,1867,1834,1839,1863
0,255,27,25535,2922,2106,1885,1834,1838,1862
0,255,28,25566,2920,2102,1867,1834,1837,1861
0,255,29,25566,2923,2071,1888,1834,1838,1861
0,255,30,25597,2920,2090,1872,1833,1838,1862
0,255,31,25628,2911,2083,1872,1834,1840,1861
0,255,32,25628,2935,2075,1885,1834,1837,1861
0,255,33,25659,2907,2089,1877,1834,1839,1862
0,255,34,25691,2944,2082,1870,1833,1839,1862
0,255,35,25706,2909,2103,1872,1833,1839,1862
0,255,36,25722,2928,2095,1876,1835,1840,1862
0,255,37,25737,2924,2084,1905,1833,1838,1860
0,255,38,25769,2915,2096,1895,1835,1839,1863
0,255,39,25769,2904,2095,1870,1834,1840,1862
0,255,40,25800,2904,2118,1895,1835,1838,1861
0,255,41,25831,2923,2109,1874,1834,1839,1861
0,255,42,25847,2932,2108,1876,1834,1839,1863
0,255,43,25862,2906,2101,1881,1834,1839,1862
0,255,44,25878,2929,2076,1886,1835,1838,1861
0,255,45,25909,2904,2079,1885,1834,1839,1861
0,255,46,25909,2932,2091,1869,1835,1838,1862
0,255,47,25940,2931,2088,1880,1835,1840,1861
0,255,48,25956,2922,2088,1870,1834,1839,1862
0,255,49,25971,2915,2086,1867,1834,1839,1862
0,255,50,25987,2911,2098,1870,1833,1838,1862
0,255,51,26018,2907,2105,1881,1834,1839,1861
0,255,52,26018,2922,2080,1895,1835,1840,1861
0,255,53,26049,2910,2110,1878,1834,1839,1862
0,255,54,26081,2912,2087,1893,1834,1839,1861
0,255,55,26081,2920,2104,1878,1835,1840,1863
0,255,56,26096,2922,2096,1880,1834,1839,1861
0,255,57,26127,2922,2098,1882,1835,1839,1862
0,255,58,26127,2920,2094,1894,1833,1839,1862
0,255,59,26159,2922,2094,1871,1833,1839,1862
0,255,60,26205,2918,2072,1893,1834,1840,1862
0,255,61,26205,2918,2117,1877,1834,1838,1861
0,255,62,26237,2922,2080,1888,1834,1839,1862
0,255,63,26237,2913,2084,1886,1833,1840,1862
0,255,64,26268,2919,2103,1863,1834,1839,1861
0,255,65,26268,2931,2087,1890,1833,1839,1862
0,255,66,26299,2908,2094,1883,1833,1838,1862
0,255,67,26330,2913,2090,1896,1833,1840,1861
0,255,68,26330,2908,2071,1885,1835,1840,1862
0,255,69,26361,2906,2112,1875,1835,1840,1861
0,255,70,26393,2913,2089,1899,1833,1840,1862
0,255,71,26408,2908,2101,1881,1834,1841,1863
0,255,72,26439,2914,2103,1878,1834,1839,1862
0,255,73,26439,2918,2085,1869,1834,1839,1862
0,255,74,26471,2894,2083,1870,1833,1839,1863
0,255,75,26471,2900,2092,1874,1833,1839,1862
0,255,76,26502,2927,2097,1881,1835,1839,1862
0,255,77,26502,2921,2075,1883,1833,1839,1861
0,255,78,26549,2917,2106,1889,1834,1839,1862
0,255,79,26580,2919,2100,1875,1834,1841,1863
0,255,80,26580,2934,2097,1888,1834,1839,1861
0,255,81,26580,2922,2084,1884,1834,1839,1862
0,255,82,26611,2912,2089,1891,1834,1839,1863
0,255,83,26627,2919,2098,1862,1834,1839,1861
0,255,84,26658,2908,2078,1875,1834,1840,1862
0,255,85,26689,2920,2092,1886,1833,1839,1862
0,255,86,26705,2900,2095,1893,1833,1839,1862
0,255,87,26705,2932,2102,1890,1833,1840,1863
0,255,88,26736,2924,2104,1890,1834,1839,1862
0,255,89,26767,2935,2081,1874,1834,1840,1862
0,255,90,26767,2914,2101,1891,1833,1838,1863
0,255,91,26798,2923,2090,1883,1834,1840,1862
0,255,92,26814,2913,2109,1883,1834,1840,1862
0,255,93,26829,2909,2085,1887,1833,1839,1862
0,255,94,26845,2934,2090,1892,1834,1839,1862
0,255,95,26876,2926,2082,1881,1833,1839,1862
0,255,96,26907,2919,2095,1887,1834,1839,1861
0,255,97,26907,2934,2103,1883,1834,1839,1861
0,255,98,26954,2891,2092,1888,1833,1838,1863
0,255,99,26954,2939,2087,1881,1834,1839,1862
0,255,100,26954,2890,2078,1889,1834,1840,1862
0,255,101,26985,2930,2093,1881,1834,1839,1861
0,255,102,27001,2906,2084,1892,1834,1839,1862
0,255,103,27032,2919,2082,1877,1833,1839,1863
0,255,104,27063,2923,2100,1865,1834,1839,1861
0,255,105,27079,2923,2086,1862,1835,1839,1862
0,255,106,27079,2905,2078,1892,1833,1838,1863
0,255,107,27110,2897,2112,1900,1833,1840,1861
0,255,108,27126,2902,2089,1890,1835,1840,1863
0,255,109,27141,2928,2093,1871,1834,1838,1861
0,255,110,27173,2914,2083,1883,1835,1839,1863
0,255,111,27204,2921,2101,1880,1834,1840,1863
0,255,112,27204,2894,2104,1897,1835,1839,1862
0,255,113,27204,2914,2103,1897,1835,1840,1862
0,255,114,27235,2920,2103,1884,1834,1839,1863
0,255,115,27251,2920,2091,1886,1834,1840,1863
0,255,116,27282,2899,2090,1880,1835,1840,1863
0,255,117,27297,2932,2079,1893,1834,1839,1862
0,255,118,27329,2896,2101,1876,1833,1840,1862
0,255,119,27344,2905,2087,1878,1833,1840,1863
0,255,120,27360,2916,2091,1855,1834,1839,1863
0,255,121,27375,2906,2095,1879,1835,1839,1863
0,255,122,27407,2916,2083,1872,1834,1839,1863
0,255,123,27407,2922,2096,1885,1834,1839,1862
0,255,124,27438,2899,2095,1878,1835,1840,1863
0,255,125,27469,2911,2088,1884,1834,1839,1862
0,255,126,27469,2924,2105,1873,1834,1840,1862
0,255,127,27500,2924,2092,1869,1835,1840,1863
0,255,128,27516,2919,2103,1865,1833,1839,1862
0,255,129,27531,2914,2106,1869,1835,1839,1862
0,255,130,27563,2927,2088,1886,1833,1838,1861
0,255,131,27578,2924,2089,1876,1833,1839,1862
0,255,132,27594,2906,2100,1878,1833,1839,1862
0,255,133,27609,2911,2090,1868,1834,1838,1861
0,255,134,27641,2918,2116,1879,1834,1839,1863
0,255,135,27641,2912,2110,1878,1834,1840,1863
0,255,136,27672,2907,2084,1863,1835,1839,1862
0,255,137,27703,2931,2107,1863,1835,1839,1863
0,255,138,27703,2916,2113,1899,1833,1839,1863
