SensorID,DataType,SeqNo,TimeStamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
0,255,218,30919,1942,2145,902,1834,1839,1846
0,255,219,30919,1929,2165,892,1835,1838,1846
0,255,220,30919,1944,2151,883,1835,1839,1846
0,255,221,30919,1951,2134,897,1834,1838,1845
0,255,222,30919,1941,2144,904,1835,1839,1846
0,255,223,30919,1938,2145,909,1833,1839,1845
0,255,224,30919,1947,2139,891,1834,1838,1845
0,255,225,30951,1933,2145,891,1835,1841,1845
0,255,226,30951,1930,2127,900,1834,1839,1845
0,255,227,30982,1931,2145,894,1834,1840,1846
0,255,228,30997,1944,2141,882,1834,1839,1846
0,255,229,31013,1951,2155,884,1835,1839,1845
0,255,230,31029,1940,2173,886,1835,1839,1846
0,255,231,31060,1946,2152,916,1833,1839,1845
0,255,232,31091,1947,2133,906,1834,1840,1845
0,255,233,31091,1937,2148,886,1834,1839,1846
0,255,234,31122,1940,2153,888,1835,1841,1847
0,255,235,31122,1963,2138,893,1834,1839,1847
0,255,236,31153,1950,2147,892,1833,1838,1847
0,255,237,31169,1954,2139,906,1834,1840,1845
0,255,238,31200,1928,2132,893,1835,1840,1847
0,255,239,31200,1929,2140,896,1834,1838,1844
0,255,240,31231,1942,2149,899,1833,1839,1845
0,255,241,31231,1935,2139,910,1833,1840,1846
0,255,242,31263,1945,2158,899,1835,1840,1845
0,255,243,31294,1940,2142,887,1835,1840,1846
0,255,244,31309,1942,2128,889,1831,1838,1847
0,255,245,31341,1943,2166,900,1834,1839,1846
0,255,246,31341,1937,2145,901,1834,1840,1843
0,255,247,31372,1944,2140,912,1832,1839,1845
0,255,248,31387,1931,2154,878,1834,1840,1845
0,255,249,31419,1939,2130,904,1833,1839,1847
0,255,250,31434,1943,2163,895,1833,1838,1845
0,255,251,31465,1920,2145,905,1835,1839,1846
0,255,252,31465,1947,2142,874,1833,1839,1845
0,255,253,31497,1962,2170,905,1834,1838,1845
0,255,254,31497,1926,2118,889,1834,1839,1846
0,255,255,31528,1949,2145,891,1835,1840,1847
0,255,0,31528,1954,2141,906,1834,1839,1845
0,255,1,31559,1965,2148,892,1834,1839,1846
0,255,2,31559,1952,2151,883,1833,1839,1845
0,255,3,31590,1952,2142,899,1834,1840,1845
0,255,4,31621,1944,2145,884,1836,1841,1846
0,255,5,31621,1939,2155,906,1835,1839,1845
0,255,6,31653,1941,2149,897,1834,1840,1846
0,255,7,31684,1942,2148,888,1835,1839,1845
0,255,8,31699,1946,2161,892,1834,1839,1845
0,255,9,31715,1954,2136,914,1835,1840,1843
0,255,10,31731,1962,2130,891,1834,1839,1844
0,255,11,31762,1944,2145,906,1834,1840,1846
0,255,12,31762,1933,2132,906,1833,1838,1845
0,255,13,31793,1941,2158,874,1834,1839,1845
0,255,14,31809,1966,2131,887,1834,1840,1845
0,255,15,31824,1935,2147,912,1834,1839,1845
0,255,16,31855,1910,2139,890,1833,1839,1845
0,255,17,31871,1956,2163,894,1833,1839,1846
0,255,18,31887,1930,2133,909,1834,1840,1845
0,255,19,31918,1946,2098,902,1835,1840,1845
0,255,20,31933,1928,2170,907,1834,1840,1845
0,255,21,31965,1931,2139,884,1833,1839,1845
0,255,22,31965,1932,2147,887,1835,1841,1846
0,255,23,31996,1943,2126,894,1835,1841,1847
0,255,24,31996,1958,2139,905,1833,1839,1845
0,255,25,32027,1940,2166,904,1833,1839,1846
0,255,26,32058,1934,2151,900,1834,1838,1844
0,255,27,32058,1930,2141,901,1835,1840,1845
0,255,28,32089,1949,2132,887,1834,1840,1844
0,255,29,32105,1949,2132,913,1834,1838,1845
0,255,30,32121,1924,2141,893,1835,1840,1847
0,255,31,32152,1955,2156,894,1834,1840,1846
0,255,32,32152,1931,2156,891,1833,1839,1846
0,255,33,32183,1943,2139,876,1834,1839,1846
0,255,34,32199,1947,2141,902,1833,1839,1845
0,255,35,32214,1938,2148,900,1834,1841,1846
0,255,36,32230,1924,2157,902,1834,1836,1844
0,255,37,32261,1943,2165,873,1834,1838,1846
0,255,38,32292,1948,2152,896,1835,1839,1846
0,255,39,32292,1936,2140,901,1833,1837,1844
0,255,40,32323,1941,2152,890,1835,1840,1845
0,255,41,32323,1959,2132,907,1833,1839,1846
0,255,42,32370,1945,2142,894,1833,1838,1845
0,255,43,32370,1936,2152,882,1834,1837,1845
0,255,44,32401,1952,2130,906,1834,1839,1845
0,255,45,32433,1956,2143,890,1834,1841,1846
0,255,47,32464,1935,2151,894,1834,1837,1844
0,255,48,32464,1940,2147,899,1834,1839,1845
0,255,49,32495,1946,2139,890,1833,1839,1847
0,255,50,32511,1926,2134,906,1833,1839,1845
0,255,51,32542,1955,2141,887,1835,1840,1846
0,255,52,32542,1947,2151,895,1833,1839,1844
0,255,53,32573,1946,2121,896,1833,1838,1846
0,255,54,32589,1969,2139,899,1836,1840,1846
0,255,55,32620,1935,2144,885,1833,1840,1845
0,255,56,32620,1924,2143,895,1834,1839,1845
0,255,57,32667,1936,2155,883,1835,1839,1847
0,255,58,32682,1948,2155,897,1833,1840,1845
