SensorID,DataType,SeqNo,TimeStamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
0,255,198,6274,1906,3140,1919,1832,1839,1845
0,255,199,6274,1918,3141,1895,1834,1839,1845
0,255,200,6274,1913,3149,1919,1835,1842,1845
0,255,201,6274,1924,3149,1908,1834,1839,1844
0,255,202,6274,1934,3111,1924,1834,1840,1845
0,255,203,6274,1920,3136,1921,1834,1841,1846
0,255,204,6274,1915,3131,1909,1834,1840,1844
0,255,205,6305,1913,3145,1919,1834,1842,1845
0,255,206,6305,1928,3135,1890,1834,1839,1845
0,255,207,6336,1930,3138,1907,1834,1839,1845
0,255,208,6367,1926,3135,1914,1834,1840,1845
0,255,209,6367,1908,3148,1894,1834,1839,1845
0,255,210,6399,1919,3118,1905,1834,1840,1846
0,255,211,6430,1901,3133,1918,1833,1839,1846
0,255,212,6430,1914,3147,1896,1833,1840,1845
0,255,213,6461,1914,3107,1906,1835,1841,1845
0,255,214,6492,1915,3130,1912,1834,1840,1846
0,255,215,6492,1917,3131,1921,1833,1839,1845
0,255,216,6523,1910,3137,1912,1835,1840,1846
0,255,217,6523,1923,3142,1894,1834,1839,1845
0,255,218,6555,1927,3140,1895,1834,1840,1846
0,255,219,6555,1908,3133,1911,1833,1840,1847
0,255,220,6601,1907,3149,1915,1834,1840,1845
0,255,221,6633,1918,3117,1923,1834,1839,1846
0,255,222,6633,1930,3129,1902,1834,1839,1846
0,255,223,6664,1915,3139,1903,1834,1840,1845
0,255,224,6664,1938,3138,1901,1835,1841,1845
0,255,225,6695,1928,3145,1913,1834,1840,1846
0,255,226,6695,1913,3156,1904,1834,1839,1845
0,255,227,6726,1923,3122,1908,1833,1840,1846
0,255,228,6742,1900,3134,1920,1834,1839,1844
0,255,229,6773,1904,3156,1903,1835,1840,1846
0,255,230,6773,1939,3137,1910,1833,1840,1845
0,255,231,6804,1906,3143,1915,1833,1840,1845
0,255,232,6835,1907,3148,1902,1835,1843,1845
0,255,233,6835,1925,3120,1907,1834,1838,1844
