SensorID,DataType,SeqNo,TimeStamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
0,255,207,2793,1884,2111,2763,1834,1838,1846
0,255,208,2793,1906,2130,2778,1834,1838,1845
0,255,209,2793,1915,2118,2766,1835,1840,1845
0,255,210,2793,1910,2113,2743,1833,1838,1846
0,255,211,2793,1925,2105,2749,1834,1839,1845
0,255,212,2808,1906,2128,2745,1836,1841,1847
0,255,213,2839,1913,2130,2777,1834,1838,1845
0,255,214,2839,1914,2121,2762,1834,1839,1844
0,255,215,2839,1885,2112,2777,1833,1839,1846
0,255,216,2871,1918,2126,2744,1835,1838,1845
0,255,217,2917,1916,2143,2755,1834,1838,1846
0,255,218,2917,1900,2084,2768,1833,1838,1845
0,255,219,2949,1912,2123,2756,1833,1840,1844
0,255,220,2949,1884,2121,2769,1834,1839,1846
0,255,221,2980,1895,2109,2769,1835,1840,1847
0,255,222,2980,1892,2123,2771,1834,1837,1845
0,255,223,3011,1912,2131,2777,1834,1839,1846
0,255,224,3011,1918,2119,2763,1834,1839,1844
0,255,225,3042,1917,2111,2771,1834,1838,1846
0,255,226,3073,1901,2123,2768,1833,1837,1845
0,255,227,3089,1894,2129,2767,1834,1839,1845
0,255,229,3136,1891,2113,2764,1833,1840,1844
0,255,230,3167,1919,2129,2755,1833,1839,1845
0,255,231,3183,1913,2108,2783,1834,1840,1846
0,255,232,3183,1918,2119,2769,1834,1839,1844
0,255,233,3214,1932,2116,2769,1834,1838,1844
0,255,234,3214,1908,2100,2756,1833,1838,1846
0,255,235,3245,1889,2138,2773,1834,1840,1845
0,255,236,3292,1895,2124,2774,1836,1840,1845
0,255,237,3292,1920,2114,2768,1834,1838,1845
0,255,238,3323,1909,2119,2760,1834,1840,1845
0,255,239,3323,1905,2110,2765,1834,1839,1846
0,255,240,3339,1924,2120,2757,1835,1840,1847
0,255,241,3370,1891,2129,2777,1836,1839,1845
0,255,242,3370,1911,2131,2728,1834,1839,1845
0,255,243,3401,1909,2122,2784,1835,1840,1845
0,255,244,3432,1910,2134,2762,1835,1840,1845
0,255,245,3432,1903,2099,2769,1834,1839,1845
0,255,246,3463,1922,2132,2758,1835,1839,1846
0,255,247,3463,1923,2114,2771,1833,1839,1846
0,255,248,3495,1896,2152,2759,1834,1839,1845
0,255,249,3541,1888,2120,2784,1835,1839,1847
0,255,250,3541,1914,2098,2764,1834,1838,1845
0,255,251,3573,1904,2112,2776,1834,1840,1845
0,255,252,3573,1915,2122,2756,1835,1839,1845
0,255,254,3604,1918,2137,2761,1834,1840,1845
0,255,255,3635,1903,2097,2772,1834,1840,1846
0,255,0,3682,1899,2111,2771,1834,1839,1844
0,255,1,3697,1908,2104,2758,1835,1838,1846
0,255,3,3744,1897,2104,2768,1835,1840,1846
0,255,4,3744,1906,2107,2766,1836,1841,1845
0,255,5,3775,1908,2121,2779,1834,1838,1844
0,255,6,3775,1893,2110,2778,1834,1840,1845
0,255,7,3807,1907,2133,2758,1835,1840,1846
0,255,8,3807,1911,2105,2758,1835,1840,1844
0,255,9,3838,1911,2124,2758,1836,1841,1845
0,255,10,3838,1922,2107,2745,1834,1840,1846
0,255,11,3885,1916,2133,2754,1834,1840,1846
0,255,12,3885,1908,2108,2748,1835,1841,1845
0,255,13,3900,1910,2138,2754,1834,1839,1845
0,255,14,3947,1910,2122,2769,1834,1840,1845
0,255,15,3963,1894,2129,2761,1834,1841,1846
0,255,16,3963,1929,2098,2784,1835,1840,1844
0,255,17,3994,1903,2087,2771,1836,1839,1845
0,255,18,3994,1906,2119,2768,1834,1840,1846
0,255,19,4025,1902,2111,2769,1834,1840,1845
0,255,20,4056,1880,2109,2768,1835,1840,1846
0,255,21,4056,1901,2119,2769,1834,1839,1845
0,255,22,4087,1907,2121,2764,1836,1839,1846
0,255,23,4087,1911,2121,2758,1833,1839,1846
0,255,24,4119,1913,2123,2756,1834,1839,1845
0,255,25,4134,1902,2114,2760,1835,1839,1846
0,255,26,4181,1917,2110,2767,1836,1839,1846
0,255,27,4181,1905,2113,2755,1833,1839,1845
0,255,28,4212,1908,2108,2771,1835,1839,1843
0,255,29,4212,1903,2119,2728,1834,1838,1844
0,255,30,4243,1920,2132,2773,1834,1839,1845
0,255,31,4275,1917,2120,2741,1834,1839,1846
0,255,32,4275,1918,2098,2780,1834,1839,1844
0,255,33,4306,1895,2114,2769,1835,1840,1845
0,255,34,4321,1896,2115,2762,1834,1839,1846
0,255,35,4353,1918,2117,2770,1835,1842,1847
0,255,36,4353,1892,2119,2786,1835,1841,1845
0,255,37,4399,1908,2135,2755,1835,1840,1844
0,255,38,4399,1904,2133,2767,1835,1840,1845
0,255,39,4399,1912,2112,2769,1835,1840,1846
0,255,40,4446,1918,2118,2759,1835,1839,1845
0,255,41,4477,1909,2130,2774,1835,1841,1847
0,255,42,4477,1919,2106,2784,1834,1840,1846
0,255,43,4509,1909,2122,2754,1834,1839,1845
0,255,44,4524,1914,2115,2757,1835,1840,1845
0,255,45,4524,1893,2118,2747,1834,1839,1845
0,255,46,4571,1926,2108,2778,1835,1840,1845
0,255,47,4571,1892,2138,2766,1834,1840,1847
0,255,48,4618,1899,2128,2777,1834,1839,1845
0,255,49,4618,1916,2107,2771,1835,1839,1846
0,255,50,4649,1903,2111,2756,1835,1839,1846
0,255,51,4649,1906,2126,2774,1834,1840,1846
0,255,52,4680,1918,2115,2763,1835,1841,1844
0,255,53,4680,1901,2104,2771,1834,1839,1845
0,255,54,4711,1923,2121,2779,1833,1839,1845
0,255,55,4727,1894,2104,2769,1833,1840,1846
0,255,56,4743,1908,2105,2742,1835,1839,1845
0,255,57,4789,1896,2126,2760,1835,1839,1845
0,255,58,4789,1891,2118,2759,1834,1839,1846
0,255,59,4821,1897,2133,2771,1834,1842,1845
0,255,60,4821,1906,2120,2756,1835,1840,1845
0,255,61,4852,1916,2128,2763,1836,1842,1846
0,255,62,4852,1914,2114,2758,1834,1840,1845
0,255,63,4883,1926,2120,2766,1834,1841,1846
0,255,64,4914,1913,2104,2756,1834,1840,1844
0,255,65,4930,1899,2119,2767,1835,1839,1845
0,255,66,4961,1927,2125,2757,1833,1840,1846
0,255,67,4961,1916,2115,2779,1835,1840,1845
0,255,68,4977,1922,2133,2757,1835,1839,1845
0,255,69,5008,1905,2120,2764,1834,1839,1845
0,255,70,5023,1903,2122,2761,1834,1840,1845
0,255,71,5055,1912,2123,2787,1834,1841,1846
0,255,72,5086,1885,2131,2773,1834,1840,1844
0,255,73,5086,1906,2112,2781,1835,1840,1846
0,255,74,5086,1906,2119,2754,1834,1840,1846
0,255,75,5117,1900,2124,2760,1835,1840,1845
0,255,76,5148,1923,2134,2764,1835,1840,1846
0,255,77,5164,1902,2112,2775,1835,1840,1845
0,255,78,5195,1920,2113,2761,1833,1840,1846
0,255,79,5195,1911,2088,2772,1835,1839,1847
0,255,80,5211,1910,2120,2786,1835,1841,1846
0,255,81,5242,1875,2117,2784,1835,1839,1846
0,255,82,5273,1904,2116,2773,1834,1839,1846
0,255,83,5273,1895,2115,2774,1834,1839,1845
0,255,84,5304,1904,2112,2770,1834,1840,1845
0,255,85,5304,1916,2103,2747,1834,1839,1845
0,255,86,5351,1919,2133,2766,1834,1839,1845
0,255,87,5351,1910,2130,2774,1833,1839,1846
0,255,88,5382,1890,2110,2761,1835,1839,1845
0,255,89,5413,1920,2110,2779,1834,1839,1846
0,255,90,5413,1903,2133,2779,1834,1839,1846
0,255,91,5429,1902,2121,2775,1834,1839,1845
0,255,92,5460,1902,2128,2732,1834,1840,1845
0,255,93,5476,1921,2106,2783,1834,1838,1844
0,255,94,5476,1912,2103,2770,1835,1840,1845
0,255,95,5523,1904,2123,2784,1833,1840,1846
0,255,96,5554,1904,2113,2790,1835,1839,1845
0,255,97,5554,1902,2116,2766,1834,1839,1846
0,255,98,5585,1921,2146,2761,1836,1840,1846
0,255,99,5585,1906,2103,2760,1835,1839,1845
0,255,100,5616,1904,2107,2767,1836,1840,1845
0,255,101,5647,1908,2123,2770,1834,1837,1844
0,255,102,5663,1915,2122,2776,1831,1839,1845
0,255,103,5663,1907,2108,2768,1834,1840,1846
0,255,104,5694,1920,2118,2744,1835,1840,1846
0,255,105,5710,1911,2126,2777,1835,1839,1847
0,255,106,5725,1912,2115,2757,1835,1840,1846
0,255,107,5741,1903,2096,2794,1835,1839,1845
0,255,108,5788,1907,2106,2775,1835,1841,1845
0,255,109,5788,1922,2113,2758,1834,1839,1845
0,255,110,5819,1890,2126,2758,1834,1839,1845
0,255,111,5819,1903,2114,2770,1834,1839,1846
0,255,112,5850,1919,2114,2777,1835,1841,1847
0,255,113,5850,1876,2113,2767,1834,1839,1846
0,255,114,5881,1912,2109,2755,1834,1840,1846
0,255,115,5913,1908,2129,2770,1835,1839,1845
0,255,116,5928,1906,2112,2771,1835,1841,1845
0,255,117,5944,1906,2114,2774,1836,1841,1846
0,255,118,5959,1926,2118,2778,1834,1840,1846
0,255,119,5991,1901,2127,2765,1834,1839,1847
0,255,120,5991,1904,2117,2776,1834,1838,1845
0,255,121,6022,1914,2121,2766,1835,1840,1845
0,255,122,6053,1908,2131,2783,1835,1840,1847
0,255,123,6053,1909,2108,2750,1835,1840,1844
0,255,124,6084,1894,2130,2768,1833,1840,1846
0,255,125,6100,1910,2126,2774,1834,1839,1845
0,255,127,6162,1921,2138,2764,1833,1840,1846
0,255,128,6162,1898,2111,2783,1835,1838,1845
0,255,129,6162,1906,2102,2758,1835,1838,1846
0,255,130,6209,1903,2129,2775,1833,1841,1845
