SensorID,DataType,SeqNo,TimeStamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
0,255,82,10265,1898,1143,1792,1834,1840,1845
0,255,83,10265,1891,1157,1787,1835,1840,1845
0,255,84,10265,1926,1133,1793,1834,1839,1845
0,255,85,10265,1912,1159,1816,1835,1839,1846
0,255,86,10265,1909,1147,1798,1834,1839,1846
0,255,87,10265,1921,1138,1813,1834,1841,1846
0,255,88,10265,1920,1126,1805,1835,1841,1845
0,255,89,10312,1900,1133,1792,1835,1839,1845
0,255,90,10312,1917,1142,1805,1834,1840,1845
0,255,91,10343,1915,1139,1778,1833,1841,1845
0,255,92,10374,1931,1126,1787,1833,1839,1843
0,255,93,10374,1914,1149,1813,1835,1841,1845
0,255,94,10374,1904,1159,1803,1833,1838,1845
0,255,95,10421,1919,1156,1833,1833,1841,1845
0,255,96,10421,1922,1127,1801,1835,1840,1845
0,255,97,10437,1931,1140,1803,1834,1838,1844
0,255,98,10483,1906,1130,1816,1833,1840,1845
0,255,99,10483,1910,1167,1797,1833,1840,1847
0,255,100,10515,1912,1146,1787,1834,1839,1845
0,255,101,10546,1920,1151,1792,1835,1840,1846
0,255,102,10546,1916,1122,1803,1832,1840,1846
0,255,103,10577,1915,1160,1789,1834,1839,1845
0,255,104,10577,1905,1172,1789,1836,1842,1845
0,255,105,10608,1908,1150,1792,1833,1840,1845
0,255,106,10624,1924,1147,1809,1834,1840,1845
0,255,107,10655,1904,1143,1797,1834,1841,1846
0,255,108,10671,1895,1137,1802,1834,1839,1845
0,255,109,10686,1909,1141,1800,1835,1842,1845
0,255,110,10702,1918,1133,1795,1834,1840,1846
0,255,111,10749,1904,1160,1784,1831,1840,1845
0,255,112,10749,1899,1143,1785,1835,1841,1845
0,255,113,10780,1901,1172,1803,1834,1839,1844
0,255,114,10780,1895,1144,1808,1834,1842,1845
0,255,115,10811,1906,1157,1800,1833,1841,1846
0,255,116,10811,1936,1120,1777,1834,1840,1845
0,255,117,10842,1914,1161,1790,1835,1842,1845
0,255,118,10873,1937,1149,1809,1833,1840,1846
0,255,119,10873,1919,1137,1797,1835,1840,1846
0,255,120,10889,1902,1121,1785,1835,1841,1845
0,255,121,10920,1924,1158,1791,1834,1839,1843
0,255,122,10920,1910,1140,1812,1834,1840,1845
0,255,123,10951,1915,1153,1807,1832,1841,1846
0,255,124,10983,1920,1137,1806,1834,1840,1844
0,255,125,10983,1904,1154,1788,1834,1840,1846
0,255,126,11014,1914,1156,1801,1834,1839,1846
0,255,127,11029,1924,1145,1806,1835,1839,1844
0,255,128,11061,1907,1126,1802,1835,1841,1846
0,255,129,11061,1903,1149,1799,1834,1840,1844
0,255,130,11107,1911,1137,1795,1836,1841,1847
0,255,131,11107,1924,1120,1786,1832,1840,1847
0,255,132,11139,1910,1135,1804,1835,1841,1847
0,255,133,11154,1898,1154,1786,1834,1839,1846
0,255,134,11170,1900,1135,1793,1834,1839,1846
0,255,135,11185,1918,1139,1787,1833,1840,1845
0,255,136,11217,1902,1151,1810,1835,1841,1845
0,255,137,11217,1915,1169,1791,1833,1840,1844
0,255,138,11248,1925,1139,1802,1834,1841,1845
0,255,139,11279,1916,1130,1806,1835,1842,1846
0,255,140,11295,1904,1135,1811,1833,1840,1844
0,255,142,11326,1915,1130,1778,1834,1840,1846
0,255,143,11357,1918,1139,1795,1834,1841,1847
0,255,144,11357,1895,1135,1810,1834,1841,1845
0,255,145,11388,1894,1139,1810,1833,1840,1846
0,255,146,11419,1915,1140,1799,1833,1841,1845
0,255,147,11435,1928,1128,1783,1834,1840,1846
0,255,148,11435,1912,1134,1792,1834,1840,1845
0,255,149,11451,1895,1142,1783,1834,1840,1846
0,255,150,11482,1909,1169,1808,1833,1839,1846
0,255,151,11497,1916,1139,1827,1832,1840,1845
0,255,152,11513,1908,1162,1813,1834,1841,1845
0,255,153,11544,1915,1161,1803,1834,1841,1845
0,255,154,11544,1935,1137,1807,1834,1841,1845
0,255,155,11575,1901,1168,1779,1832,1841,1846
0,255,156,11607,1893,1139,1794,1834,1840,1845
0,255,157,11607,1916,1136,1819,1835,1839,1846
0,255,158,11638,1922,1159,1796,1834,1839,1845
0,255,159,11653,1924,1146,1795,1832,1840,1846
0,255,160,11685,1932,1138,1798,1835,1842,1845
0,255,161,11685,1922,1117,1800,1834,1838,1844
0,255,162,11716,1907,1158,1799,1833,1841,1845
0,255,164,11747,1914,1135,1794,1834,1840,1843
0,255,165,11794,1918,1156,1807,1835,1840,1846
0,255,166,11794,1904,1176,1813,1833,1839,1846
0,255,167,11809,1912,1135,1817,1834,1841,1845
0,255,168,11841,1912,1135,1802,1834,1842,1845
0,255,169,11856,1925,1128,1802,1834,1839,1845
0,255,170,11887,1886,1150,1814,1834,1840,1845
0,255,171,11887,1909,1168,1790,1834,1841,1846
0,255,172,11919,1918,1136,1796,1834,1840,1844
0,255,173,11919,1908,1128,1776,1834,1841,1846
0,255,174,11950,1914,1136,1813,1834,1841,1845
0,255,175,11981,1903,1156,1792,1835,1840,1845
0,255,176,11997,1897,1152,1785,1835,1842,1845
0,255,177,12028,1894,1144,1796,1835,1842,1847
0,255,178,12028,1908,1137,1792,1834,1841,1845
0,255,179,12059,1917,1147,1800,1835,1841,1846
0,255,180,12059,1909,1139,1808,1834,1840,1845
0,255,181,12090,1910,1147,1806,1836,1840,1845
0,255,182,12121,1898,1158,1801,1834,1840,1846
0,255,183,12121,1918,1151,1803,1834,1839,1845
0,255,184,12137,1893,1128,1788,1835,1840,1846
0,255,185,12153,1900,1130,1791,1835,1841,1847
0,255,186,12184,1925,1136,1795,1835,1840,1845
0,255,187,12215,1892,1145,1825,1832,1842,1846
0,255,188,12215,1924,1135,1773,1835,1840,1845
0,255,189,12246,1908,1149,1813,1835,1841,1843
0,255,190,12246,1924,1150,1782,1836,1840,1846
0,255,191,12293,1917,1146,1802,1834,1839,1845
0,255,193,12324,1938,1150,1807,1834,1841,1843
0,255,194,12355,1935,1120,1801,1833,1841,1845
0,255,195,12355,1930,1147,1798,1833,1841,1847
0,255,196,12387,1898,1128,1793,1835,1839,1844
0,255,197,12418,1908,1157,1794,1835,1840,1846
0,255,198,12418,1934,1158,1795,1834,1841,1846
0,255,199,12449,1923,1139,1786,1835,1839,1845
0,255,200,12465,1886,1149,1787,1835,1842,1845
0,255,201,12496,1914,1148,1801,1835,1841,1847
0,255,202,12496,1911,1135,1815,1833,1842,1845
0,255,203,12527,1904,1142,1803,1834,1843,1846
0,255,204,12543,1931,1122,1788,1833,1839,1844
0,255,205,12574,1906,1157,1805,1835,1840,1845
0,255,206,12574,1918,1162,1799,1833,1840,1846
0,255,207,12605,1919,1155,1797,1834,1840,1845
0,255,208,12605,1909,1140,1818,1834,1842,1846
0,255,209,12636,1926,1129,1797,1834,1840,1844
0,255,210,12667,1906,1132,1805,1834,1841,1845
0,255,211,12683,1908,1137,1782,1833,1841,1846
0,255,212,12683,1914,1133,1794,1835,1841,1846
0,255,213,12714,1907,1145,1793,1834,1840,1844
0,255,214,12745,1906,1150,1794,1834,1840,1846
0,255,215,12745,1904,1164,1808,1834,1839,1844
0,255,216,12777,1903,1145,1802,1835,1841,1845
0,255,217,12777,1905,1147,1819,1834,1839,1845
0,255,218,12808,1895,1148,1813,1834,1840,1845
0,255,219,12823,1912,1144,1793,1832,1840,1846
0,255,220,12855,1920,1122,1794,1835,1840,1845
