SensorID,DataType,SeqNo,TimeStamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
0,255,77,13044,1913,2124,2777,1834,1836,1845
0,255,78,13044,1906,2135,2757,1835,1838,1845
0,255,80,13044,1888,2126,2774,1833,1838,1846
0,255,81,13044,1912,2129,2770,1834,1838,1845
0,255,82,13044,1920,2103,2759,1832,1839,1846
0,255,83,13075,1916,2095,2774,1834,1838,1845
0,255,84,13106,1912,2116,2760,1834,1837,1845
0,255,85,13106,1888,2107,2779,1834,1836,1844
0,255,86,13138,1909,2116,2753,1834,1839,1846
0,255,87,13138,1900,2123,2774,1835,1838,1846
0,255,88,13169,1921,2082,2766,1832,1836,1844
0,255,89,13184,1906,2120,2771,1833,1838,1845
0,255,90,13216,1904,2126,2739,1833,1839,1846
0,255,91,13231,1914,2111,2801,1833,1838,1845
0,255,92,13247,1906,2126,2745,1835,1837,1846
0,255,93,13262,1924,2117,2770,1834,1837,1844
0,255,94,13294,1919,2119,2766,1834,1838,1845
0,255,95,13294,1901,2096,2755,1836,1837,1846
0,255,96,13356,1901,2126,2735,1833,1837,1845
0,255,97,13356,1943,2110,2768,1833,1837,1845
0,255,98,13356,1915,2117,2730,1834,1837,1846
0,255,99,13403,1917,2113,2766,1834,1838,1846
0,255,100,13403,1898,2141,2754,1835,1836,1845
0,255,101,13403,1885,2118,2773,1831,1836,1844
0,255,102,13434,1910,2115,2770,1832,1837,1846
0,255,103,13481,1898,2121,2784,1836,1838,1847
0,255,104,13481,1914,2103,2759,1833,1837,1844
0,255,105,13496,1913,2126,2751,1831,1839,1845
0,255,106,13528,1912,2106,2754,1833,1838,1846
0,255,107,13528,1933,2113,2772,1834,1839,1845
0,255,108,13559,1929,2110,2764,1835,1838,1846
0,255,109,13590,1916,2127,2749,1834,1838,1845
0,255,110,13590,1914,2123,2758,1834,1837,1846
0,255,111,13621,1908,2118,2759,1836,1839,1847
0,255,112,13621,1899,2112,2765,1833,1838,1845
0,255,113,13652,1918,2113,2760,1835,1839,1846
0,255,114,13652,1912,2110,2768,1833,1837,1846
0,255,115,13715,1904,2120,2779,1834,1838,1845
0,255,117,13715,1909,2127,2764,1833,1837,1844
0,255,118,13746,1919,2132,2754,1835,1838,1845
0,255,119,13793,1923,2113,2765,1835,1837,1843
0,255,120,13793,1919,2122,2761,1833,1838,1846
0,255,121,13793,1903,2104,2781,1835,1837,1845
0,255,122,13824,1910,2112,2753,1834,1837,1846
0,255,123,13855,1904,2112,2794,1832,1836,1844
0,255,124,13871,1898,2128,2767,1835,1838,1844
0,255,125,13902,1912,2090,2782,1834,1838,1845
0,255,126,13933,1908,2107,2784,1834,1838,1845
0,255,127,13933,1907,2114,2758,1835,1838,1846
0,255,128,13964,1910,2129,2768,1834,1836,1844
0,255,129,13964,1926,2116,2770,1833,1837,1845
0,255,130,13996,1907,2119,2764,1834,1837,1847
0,255,131,13996,1886,2128,2760,1833,1837,1845
0,255,132,14027,1904,2106,2776,1835,1838,1846
0,255,133,14042,1905,2122,2793,1834,1837,1845
0,255,134,14074,1907,2133,2753,1834,1838,1846
0,255,135,14120,1892,2116,2746,1835,1838,1846
0,255,136,14120,1914,2123,2757,1834,1837,1845
0,255,137,14120,1914,2113,2755,1834,1837,1845
0,255,138,14167,1912,2115,2762,1833,1837,1846
0,255,139,14167,1919,2110,2760,1835,1839,1845
0,255,140,14198,1897,2129,2767,1835,1839,1845
0,255,141,14198,1913,2103,2779,1834,1839,1845
0,255,142,14230,1907,2112,2765,1834,1839,1845
0,255,143,14230,1918,2120,2773,1833,1839,1845
0,255,144,14261,1895,2112,2750,1834,1839,1845
0,255,145,14292,1916,2138,2764,1833,1839,1845
0,255,146,14292,1888,2126,2765,1834,1838,1847
0,255,147,14308,1918,2112,2773,1835,1839,1846
0,255,148,14339,1892,2123,2774,1835,1839,1846
0,255,149,14339,1896,2128,2786,1832,1836,1844
0,255,150,14386,1918,2132,2756,1835,1838,1846
0,255,152,14417,1897,2105,2774,1835,1839,1846
0,255,153,14417,1900,2119,2769,1834,1838,1846
0,255,154,14448,1933,2097,2760,1834,1837,1846
0,255,155,14479,1895,2111,2761,1833,1836,1844
0,255,156,14495,1919,2132,2763,1835,1838,1845
0,255,157,14526,1915,2115,2774,1834,1838,1845
0,255,158,14557,1897,2117,2761,1833,1837,1845
0,255,159,14557,1916,2118,2758,1833,1839,1846
0,255,160,14588,1898,2132,2754,1834,1837,1844
0,255,161,14604,1911,2106,2773,1834,1837,1846
0,255,162,14604,1897,2121,2771,1835,1838,1846
0,255,163,14635,1906,2119,2770,1834,1838,1845
0,255,164,14666,1869,2119,2775,1835,1838,1846
0,255,165,14666,1913,2124,2765,1834,1836,1844
0,255,166,14698,1919,2108,2774,1834,1838,1846
0,255,167,14713,1912,2107,2747,1834,1837,1846
0,255,168,14713,1912,2105,2776,1835,1839,1846
0,255,169,14744,1916,2124,2759,1834,1838,1843
0,255,170,14760,1923,2099,2757,1833,1838,1847
0,255,171,14791,1916,2132,2761,1833,1839,1845
0,255,172,14822,1944,2105,2775,1835,1837,1845
0,255,173,14838,1928,2126,2775,1834,1837,1844
0,255,174,14838,1905,2110,2780,1833,1838,1845
0,255,175,14869,1899,2103,2735,1833,1838,1846
0,255,176,14900,1911,2130,2758,1834,1837,1845
0,255,177,14900,1908,2111,2760,1835,1837,1844
0,255,178,14932,1921,2105,2773,1835,1838,1846
0,255,179,14932,1913,2107,2763,1834,1838,1846
0,255,180,14963,1924,2131,2747,1835,1838,1845
0,255,181,14978,1909,2116,2768,1833,1837,1844
0,255,182,14994,1914,2107,2764,1835,1838,1846
0,255,183,15041,1908,2116,2768,1834,1839,1846
0,255,184,15041,1897,2135,2775,1833,1838,1844
0,255,185,15056,1890,2119,2768,1834,1838,1845
0,255,186,15088,1925,2141,2775,1834,1838,1846
0,255,187,15119,1905,2118,2761,1833,1838,1845
0,255,188,15119,1913,2118,2767,1835,1839,1845
0,255,189,15150,1888,2119,2771,1834,1837,1844
0,255,190,15166,1913,2119,2756,1833,1838,1845
0,255,191,15166,1918,2123,2774,1832,1838,1846
0,255,193,15212,1903,2111,2770,1836,1838,1846
0,255,194,15244,1916,2127,2773,1833,1837,1847
0,255,195,15275,1906,2115,2767,1834,1837,1845
0,255,196,15275,1914,2112,2770,1835,1839,1845
0,255,197,15306,1919,2108,2761,1833,1836,1844
0,255,198,15337,1892,2126,2766,1834,1837,1845
0,255,199,15337,1903,2113,2770,1834,1840,1847
0,255,200,15337,1914,2122,2742,1834,1838,1845
0,255,201,15368,1924,2111,2783,1835,1838,1846
0,255,203,15431,1917,2120,2759,1833,1837,1846
0,255,204,15431,1928,2119,2745,1835,1839,1845
0,255,205,15431,1921,2133,2778,1834,1837,1845
0,255,206,15462,1932,2128,2770,1834,1837,1846
0,255,207,15493,1887,2123,2751,1834,1839,1847
0,255,208,15509,1914,2115,2765,1834,1838,1844
0,255,209,15540,1902,2116,2770,1835,1839,1845
0,255,210,15540,1902,2135,2766,1833,1837,1846
0,255,211,15571,1892,2126,2777,1834,1839,1845
0,255,212,15602,1902,2145,2757,1834,1839,1845
0,255,213,15602,1919,2110,2787,1834,1838,1845
0,255,214,15634,1900,2104,2757,1834,1839,1846
0,255,215,15665,1898,2113,2767,1833,1838,1846
0,255,216,15665,1913,2124,2758,1834,1838,1845
0,255,217,15680,1906,2103,2751,1835,1839,1846
0,255,218,15712,1892,2117,2751,1834,1837,1846
0,255,219,15712,1908,2104,2802,1834,1839,1845
0,255,220,15743,1914,2125,2791,1835,1840,1845
0,255,221,15774,1926,2112,2771,1833,1837,1844
0,255,222,15790,1898,2128,2769,1834,1840,1845
0,255,223,15805,1910,2122,2774,1835,1839,1846
0,255,224,15836,1902,2106,2760,1834,1837,1845
0,255,225,15836,1911,2112,2773,1835,1838,1846
0,255,226,15868,1906,2115,2751,1835,1839,1846
0,255,227,15899,1916,2116,2765,1834,1837,1845
0,255,228,15914,1919,2121,2767,1835,1839,1845
0,255,229,15914,1928,2116,2766,1834,1837,1844
0,255,230,15946,1900,2112,2771,1834,1838,1845
0,255,231,15961,1907,2147,2771,1834,1839,1847
0,255,232,15992,1910,2115,2763,1835,1839,1846
0,255,233,15992,1914,2102,2759,1835,1838,1846
0,255,234,16008,1908,2135,2770,1835,1839,1846
0,255,235,16024,1906,2114,2748,1833,1838,1845
0,255,236,16070,1918,2110,2759,1835,1837,1845
0,255,237,16086,1911,2124,2746,1833,1836,1844
0,255,238,16086,1919,2127,2764,1834,1838,1845
0,255,239,16117,1909,2130,2765,1834,1839,1846
0,255,240,16148,1915,2120,2754,1833,1837,1844
0,255,241,16180,1911,2131,2773,1834,1838,1846
0,255,242,16180,1910,2140,2782,1834,1838,1846
0,255,243,16180,1904,2109,2773,1833,1839,1845
0,255,244,16226,1915,2111,2767,1835,1839,1845
0,255,245,16226,1898,2115,2748,1834,1839,1845
0,255,246,16258,1917,2115,2763,1834,1838,1847
0,255,247,16289,1890,2118,2777,1833,1838,1846
0,255,248,16304,1909,2107,2766,1835,1837,1845
0,255,249,16304,1905,2105,2773,1834,1837,1846
0,255,250,16336,1913,2120,2755,1834,1838,1846
0,255,251,16336,1931,2113,2771,1833,1838,1845
0,255,252,16367,1894,2131,2761,1835,1839,1845
0,255,253,16398,1924,2120,2764,1835,1840,1846
0,255,254,16398,1913,2123,2776,1834,1839,1845
0,255,255,16429,1910,2112,2758,1835,1838,1846
0,255,0,16460,1901,2117,2748,1835,1839,1844
0,255,1,16476,1919,2124,2765,1835,1839,1846
0,255,2,16476,1890,2114,2774,1833,1836,1845
0,255,3,16507,1908,2113,2758,1833,1837,1845
0,255,4,16507,1910,2109,2768,1835,1839,1845
0,255,5,16538,1908,2130,2760,1834,1839,1843
0,255,6,16570,1923,2108,2768,1834,1839,1845
0,255,7,16585,1910,2119,2768,1834,1838,1846
0,255,8,16601,1914,2117,2768,1834,1840,1845
0,255,9,16632,1921,2123,2758,1835,1837,1845
0,255,10,16632,1934,2115,2774,1833,1838,1845
0,255,11,16679,1901,2119,2760,1834,1839,1847
0,255,12,16679,1893,2113,2770,1834,1838,1845
0,255,13,16741,1892,2108,2763,1833,1838,1845
0,255,14,16741,1912,2124,2769,1834,1839,1845
0,255,16,16757,1910,2109,2791,1833,1838,1845
0,255,17,16788,1921,2120,2767,1836,1839,1845
0,255,18,16788,1927,2108,2778,1834,1839,1846
0,255,19,16819,1904,2130,2761,1835,1839,1847
0,255,20,16850,1914,2114,2760,1834,1840,1846
0,255,21,16866,1907,2123,2738,1833,1838,1846
0,255,22,16866,1931,2114,2781,1834,1840,1846
0,255,23,16897,1920,2130,2758,1834,1839,1847
0,255,24,16897,1922,2117,2769,1834,1839,1844
0,255,25,16928,1907,2129,2754,1834,1838,1846
0,255,26,16960,1907,2134,2759,1835,1839,1847
0,255,27,16960,1910,2127,2742,1834,1838,1845
0,255,29,17006,1915,2130,2755,1834,1837,1845
0,255,30,17038,1915,2114,2771,1835,1838,1845
0,255,31,17053,1914,2131,2738,1833,1838,1846
0,255,32,17084,1889,2109,2768,1835,1838,1845
0,255,34,17131,1918,2131,2779,1835,1837,1846
0,255,35,17147,1906,2106,2762,1835,1838,1845
0,255,36,17147,1910,2118,2775,1834,1838,1846
0,255,37,17178,1908,2130,2768,1834,1838,1845
0,255,38,17209,1909,2122,2769,1834,1838,1845
0,255,39,17225,1910,2121,2751,1833,1838,1847
0,255,40,17225,1905,2105,2781,1834,1838,1844
0,255,41,17256,1904,2104,2779,1835,1838,1846
0,255,42,17256,1918,2097,2783,1833,1836,1846
0,255,44,17303,1913,2122,2762,1834,1839,1845
0,255,45,17334,1918,2111,2776,1835,1839,1846
0,255,46,17334,1905,2123,2775,1834,1839,1845
0,255,47,17365,1916,2119,2761,1834,1838,1847
0,255,49,17412,1909,2115,2747,1835,1838,1846
0,255,50,17412,1923,2108,2753,1833,1839,1848
0,255,51,17443,1919,2104,2786,1834,1839,1845
0,255,52,17474,1905,2122,2764,1833,1839,1845
0,255,54,17506,1911,2142,2763,1835,1838,1846
0,255,55,17521,1904,2117,2763,1833,1839,1847
0,255,56,17552,1904,2116,2772,1835,1839,1845
0,255,57,17552,1888,2129,2779,1835,1838,1846
0,255,58,17584,1910,2098,2779,1834,1838,1846
0,255,59,17584,1924,2118,2755,1835,1838,1845
0,255,60,17615,1910,2111,2772,1836,1839,1845
0,255,61,17630,1914,2123,2774,1834,1837,1845
0,255,62,17662,1900,2113,2786,1834,1838,1846
0,255,63,17662,1925,2100,2771,1833,1837,1846
0,255,64,17708,1919,2106,2783,1835,1838,1846
0,255,65,17724,1910,2139,2766,1835,1838,1846
0,255,66,17740,1912,2132,2761,1834,1837,1845
0,255,67,17771,1918,2128,2743,1834,1839,1847
0,255,68,17771,1914,2121,2751,1834,1838,1845
0,255,69,17802,1909,2108,2762,1833,1837,1845
0,255,70,17818,1909,2115,2775,1833,1838,1846
0,255,71,17864,1918,2130,2779,1835,1839,1846
0,255,72,17864,1916,2104,2770,1834,1837,1844
0,255,73,17864,1894,2119,2769,1835,1838,1846
0,255,74,17880,1922,2105,2762,1833,1837,1846
0,255,75,17911,1903,2144,2784,1835,1838,1845
0,255,76,17942,1907,2118,2775,1835,1839,1846
0,255,77,17958,1921,2104,2754,1833,1836,1844
0,255,78,17974,1911,2113,2778,1833,1837,1846
0,255,79,17989,1915,2115,2759,1834,1837,1847
0,255,80,18005,1916,2117,2766,1834,1838,1846
0,255,81,18036,1910,2137,2755,1835,1838,1844
0,255,82,18036,1910,2125,2757,1834,1838,1846
0,255,83,18067,1905,2131,2753,1834,1838,1846
0,255,84,18098,1913,2127,2766,1835,1839,1846
0,255,85,18098,1918,2120,2732,1833,1838,1843
0,255,86,18130,1907,2115,2764,1834,1838,1845
0,255,87,18145,1892,2122,2758,1834,1839,1847
0,255,88,18161,1904,2117,2772,1835,1838,1845
0,255,89,18176,1910,2108,2745,1835,1838,1847
0,255,90,18208,1926,2109,2770,1834,1838,1846
0,255,91,18208,1906,2117,2768,1833,1837,1844
0,255,92,18239,1910,2135,2758,1835,1839,1843
0,255,93,18270,1906,2126,2776,1833,1837,1845
0,255,94,18286,1909,2119,2775,1834,1838,1845
0,255,95,18301,1901,2124,2740,1834,1839,1846
0,255,96,18317,1921,2113,2776,1834,1837,1845
0,255,97,18348,1910,2108,2774,1833,1837,1845
0,255,98,18348,1930,2117,2787,1834,1837,1847
0,255,99,18395,1918,2099,2759,1834,1838,1845
0,255,100,18395,1913,2101,2776,1835,1839,1845
0,255,101,18426,1912,2133,2753,1834,1839,1845
0,255,102,18442,1922,2115,2781,1835,1839,1845
0,255,103,18473,1922,2119,2757,1835,1839,1845
0,255,104,18473,1925,2112,2771,1834,1839,1843
0,255,105,18504,1908,2118,2771,1835,1840,1846
0,255,106,18520,1939,2111,2777,1833,1838,1847
0,255,107,18535,1918,2108,2764,1834,1839,1846
0,255,108,18566,1900,2089,2769,1835,1840,1845
0,255,109,18582,1915,2120,2761,1834,1839,1844
0,255,110,18613,1907,2124,2776,1834,1838,1843
0,255,111,18613,1915,2100,2732,1834,1839,1847
0,255,112,18629,1916,2099,2786,1834,1838,1845
0,255,113,18660,1907,2126,2742,1834,1839,1846
0,255,114,18660,1917,2133,2759,1833,1838,1845
0,255,115,18691,1902,2119,2755,1834,1838,1843
0,255,116,18738,1906,2116,2766,1834,1838,1846
0,255,117,18738,1911,2123,2756,1835,1840,1846
0,255,118,18738,1901,2113,2777,1833,1838,1845
0,255,119,18769,1892,2106,2754,1834,1838,1846
0,255,120,18785,1887,2106,2773,1834,1838,1846
0,255,121,18816,1920,2112,2760,1834,1838,1846
0,255,123,18847,1905,2123,2753,1834,1838,1843
0,255,124,18863,1914,2130,2745,1834,1839,1846
0,255,125,18894,1913,2129,2751,1833,1838,1845
0,255,126,18910,1923,2113,2779,1834,1839,1845
0,255,127,18925,1906,2118,2765,1833,1839,1846
0,255,128,18941,1920,2122,2749,1833,1838,1844
0,255,129,18956,1908,2118,2768,1835,1838,1846
0,255,131,19019,1912,2141,2762,1835,1838,1845
0,255,132,19034,1913,2117,2775,1835,1839,1846
0,255,133,19034,1916,2125,2767,1834,1837,1844
0,255,134,19066,1902,2107,2757,1834,1838,1845
0,255,135,19097,1876,2109,2775,1833,1839,1846
0,255,136,19097,1919,2098,2773,1834,1838,1845
0,255,137,19128,1916,2117,2767,1834,1837,1845
0,255,138,19144,1892,2118,2775,1834,1838,1845
0,255,139,19144,1897,2115,2768,1834,1837,1845
0,255,140,19190,1900,2120,2779,1835,1838,1846
0,255,141,19206,1917,2113,2761,1833,1839,1844
0,255,142,19237,1919,2132,2764,1833,1839,1845
0,255,143,19237,1893,2109,2757,1833,1839,1846
0,255,144,19268,1905,2114,2774,1833,1838,1845
0,255,145,19300,1917,2123,2774,1834,1836,1845
0,255,147,19300,1909,2138,2764,1835,1837,1845
0,255,148,19346,1887,2122,2750,1836,1839,1846
0,255,149,19346,1898,2115,2771,1833,1838,1845
0,255,150,19362,1913,2122,2763,1834,1839,1845
0,255,151,19409,1896,2125,2759,1833,1838,1846
0,255,152,19409,1910,2119,2763,1833,1837,1845
0,255,153,19440,1885,2104,2786,1834,1839,1846
0,255,154,19471,1910,2116,2755,1831,1836,1844
0,255,155,19471,1898,2124,2762,1834,1837,1845
0,255,156,19502,1908,2117,2749,1836,1839,1846
0,255,157,19534,1905,2124,2770,1834,1836,1844
0,255,158,19534,1934,2108,2763,1834,1839,1844
0,255,159,19534,1916,2122,2776,1833,1837,1846
0,255,160,19565,1912,2115,2765,1834,1838,1844
0,255,161,19580,1918,2127,2760,1835,1839,1846
0,255,162,19612,1898,2127,2771,1833,1837,1844
0,255,163,19643,1908,2127,2770,1834,1839,1846
0,255,164,19643,1899,2128,2757,1834,1839,1845
0,255,165,19658,1914,2129,2762,1835,1839,1847
0,255,166,19690,1893,2125,2761,1834,1838,1845
0,255,167,19721,1911,2134,2757,1833,1837,1846
0,255,168,19736,1921,2126,2738,1833,1838,1845
