SensorID,DataType,SeqNo,TimeStamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
0,255,169,27972,1966,2068,2778,1839,1839,1864
0,255,170,27972,1956,2073,2800,1838,1838,1863
0,255,171,27972,1951,2079,2810,1837,1839,1864
0,255,172,27972,1954,2084,2808,1837,1838,1863
0,255,173,27972,1965,2059,2797,1838,1838,1864
0,255,174,27972,1946,2085,2789,1837,1838,1864
0,255,175,27988,1948,2067,2795,1837,1837,1863
0,255,176,27988,1937,2090,2791,1837,1838,1864
0,255,177,28019,1942,2081,2776,1835,1838,1863
0,255,178,28035,1961,2067,2807,1837,1837,1863
0,255,179,28066,1938,2067,2807,1837,1838,1864
0,255,180,28081,1961,2083,2792,1838,1839,1864
0,255,181,28097,1943,2086,2804,1838,1838,1863
0,255,182,28128,1950,2081,2794,1837,1838,1865
0,255,183,28128,1958,2068,2811,1837,1838,1863
0,255,184,28159,1971,2075,2798,1838,1839,1865
0,255,186,28206,1971,2069,2787,1837,1838,1863
0,255,187,28206,1951,2070,2807,1837,1839,1864
0,255,188,28237,1949,2060,2792,1837,1838,1863
0,255,189,28269,1955,2063,2802,1837,1838,1864
0,255,190,28269,1964,2079,2787,1836,1837,1865
0,255,191,28300,1951,2074,2794,1837,1837,1862
0,255,193,28331,1964,2093,2795,1836,1838,1862
0,255,194,28362,1964,2069,2797,1836,1838,1863
0,255,195,28378,1982,2081,2783,1837,1839,1864
0,255,196,28378,1965,2063,2799,1837,1837,1863
0,255,198,28425,1949,2085,2801,1837,1838,1864
0,255,199,28456,1952,2087,2816,1837,1839,1865
0,255,200,28487,1952,2086,2803,1838,1839,1863
0,255,201,28487,1952,2079,2788,1838,1838,1863
0,255,202,28487,1964,2078,2790,1837,1838,1863
0,255,203,28518,1949,2077,2793,1836,1839,1864
0,255,204,28549,1960,2078,2814,1838,1839,1865
0,255,205,28565,1948,2090,2802,1837,1838,1864
0,255,206,28596,1957,2079,2797,1837,1838,1865
0,255,207,28596,1964,2083,2795,1837,1838,1863
0,255,208,28627,1948,2057,2805,1838,1839,1863
0,255,209,28627,1953,2084,2797,1836,1837,1862
0,255,210,28659,1956,2070,2805,1837,1838,1864
0,255,211,28690,1944,2071,2789,1836,1839,1864
0,255,212,28705,1940,2083,2798,1836,1838,1862
0,255,213,28721,1950,2086,2788,1837,1838,1863
0,255,214,28737,1947,2084,2833,1836,1836,1863
0,255,215,28768,1942,2076,2792,1837,1838,1864
0,255,216,28768,1943,2081,2815,1838,1839,1863
0,255,217,28799,1928,2071,2784,1836,1838,1862
0,255,218,28830,1962,2071,2786,1836,1839,1863
0,255,219,28846,1955,2058,2776,1837,1839,1864
0,255,220,28877,1944,2069,2793,1837,1838,1863
0,255,221,28877,1960,2063,2793,1838,1838,1864
0,255,222,28893,1949,2081,2803,1836,1838,1864
0,255,223,28924,1950,2087,2805,1836,1839,1863
0,255,224,28924,1950,2068,2809,1838,1839,1863
0,255,225,28955,1963,2066,2783,1837,1838,1863
0,255,226,28971,1957,2065,2797,1837,1839,1863
0,255,227,28986,1947,2089,2786,1837,1839,1865
0,255,228,29017,1951,2054,2798,1838,1839,1864
0,255,229,29033,1946,2071,2793,1837,1838,1864
0,255,230,29064,1946,2067,2791,1838,1839,1864
0,255,231,29064,1937,2068,2798,1838,1838,1863
0,255,232,29095,1956,2075,2795,1838,1839,1863
0,255,233,29111,1974,2076,2798,1836,1837,1862
0,255,234,29127,1961,2079,2808,1836,1837,1863
0,255,235,29158,1947,2083,2799,1835,1839,1865
0,255,236,29158,1942,2083,2795,1836,1838,1863
0,255,237,29205,1969,2039,2806,1837,1839,1863
0,255,238,29205,1947,2073,2808,1835,1838,1864
0,255,239,29236,1954,2070,2793,1836,1839,1864
0,255,240,29267,1955,2060,2788,1837,1838,1863
0,255,241,29267,1966,2079,2811,1837,1837,1862
0,255,242,29298,1942,2079,2793,1837,1838,1864
0,255,243,29298,1946,2074,2784,1835,1839,1864
0,255,244,29329,1944,2059,2798,1837,1840,1865
0,255,245,29329,1952,2066,2785,1838,1838,1864
0,255,246,29361,1962,2081,2793,1836,1838,1864
0,255,247,29392,1951,2081,2776,1836,1837,1863
0,255,248,29392,1942,2088,2801,1837,1839,1863
0,255,249,29423,1948,2070,2799,1838,1839,1863
0,255,250,29485,1959,2079,2784,1837,1840,1863
0,255,251,29485,1956,2065,2793,1836,1839,1864
0,255,252,29485,1953,2065,2800,1836,1839,1864
0,255,253,29501,1954,2061,2788,1837,1838,1864
0,255,254,29532,1960,2077,2780,1836,1838,1864
0,255,255,29532,1936,2078,2810,1835,1838,1863
0,255,0,29563,1924,2074,2810,1838,1840,1863
0,255,1,29563,1957,2078,2791,1836,1838,1863
0,255,2,29595,1955,2066,2778,1837,1839,1863
0,255,3,29610,1947,2072,2785,1835,1838,1864
0,255,4,29641,1960,2067,2804,1837,1838,1863
0,255,5,29673,1944,2059,2795,1837,1839,1864
0,255,6,29688,1965,2079,2815,1835,1838,1863
0,255,7,29688,1967,2081,2779,1836,1839,1863
0,255,8,29719,1960,2061,2780,1837,1839,1863
0,255,9,29751,1975,2069,2808,1837,1839,1864
0,255,11,29782,1971,2063,2802,1835,1839,1864
0,255,12,29797,1968,2075,2767,1836,1839,1862
0,255,13,29829,1941,2068,2813,1837,1839,1863
0,255,14,29829,1953,2091,2802,1835,1838,1864
0,255,15,29860,1950,2065,2783,1836,1839,1864
0,255,16,29875,1969,2091,2786,1837,1839,1863
0,255,17,29907,1935,2085,2805,1837,1840,1864
0,255,18,29907,1946,2069,2812,1836,1839,1863
0,255,19,29938,1949,2058,2785,1836,1839,1864
0,255,20,29938,1940,2087,2784,1836,1839,1863
0,255,21,29969,1964,2077,2809,1838,1839,1864
0,255,22,30000,1969,2066,2794,1835,1838,1864
0,255,23,30000,1963,2078,2786,1836,1839,1863
0,255,24,30031,1970,2070,2780,1837,1840,1863
0,255,25,30063,1961,2077,2791,1836,1838,1862
0,255,26,30094,1945,2067,2794,1836,1839,1863
0,255,27,30094,1948,2089,2800,1836,1839,1865
0,255,28,30125,1944,2074,2791,1836,1839,1862
0,255,29,30125,1952,2068,2794,1837,1838,1864
0,255,30,30141,1960,2091,2792,1835,1839,1864
0,255,31,30172,1944,2070,2815,1836,1839,1863
0,255,32,30187,1972,2066,2795,1837,1839,1863
0,255,33,30203,1955,2079,2793,1836,1839,1864
0,255,34,30234,1952,2079,2793,1837,1839,1863
0,255,35,30250,1952,2075,2786,1835,1840,1864
0,255,36,30281,1960,2082,2785,1836,1839,1863
0,255,37,30281,1962,2085,2807,1837,1839,1864
0,255,38,30328,1970,2078,2788,1837,1840,1865
0,255,39,30328,1964,2080,2810,1836,1839,1863
0,255,40,30359,1963,2087,2790,1837,1839,1863
0,255,41,30359,1972,2060,2803,1836,1839,1863
0,255,42,30390,1956,2080,2796,1837,1840,1863
0,255,43,30390,1954,2077,2791,1835,1840,1864
0,255,44,30421,1949,2066,2810,1836,1839,1863
0,255,45,30437,1942,2071,2813,1837,1839,1863
0,255,46,30468,1954,2054,2808,1836,1839,1863
0,255,47,30468,1957,2073,2806,1837,1839,1863
0,255,48,30499,1960,2077,2787,1836,1839,1864
0,255,49,30531,1945,2071,2812,1836,1839,1862
0,255,50,30531,1945,2080,2790,1836,1839,1863
0,255,51,30562,1939,2086,2810,1835,1839,1864
0,255,52,30562,1944,2056,2812,1836,1839,1862
0,255,53,30593,1939,2073,2801,1837,1839,1864
0,255,54,30609,1954,2071,2814,1837,1840,1864
0,255,55,30640,1952,2081,2790,1836,1840,1864
0,255,56,30640,1955,2073,2777,1837,1840,1863
0,255,57,30671,1938,2095,2808,1836,1839,1863
0,255,58,30702,1973,2086,2782,1836,1839,1864
0,255,59,30718,1942,2075,2805,1836,1840,1864
0,255,60,30749,1958,2084,2787,1838,1840,1865
0,255,61,30780,1942,2063,2805,1837,1839,1863
0,255,62,30780,1953,2075,2774,1836,1839,1864
0,255,63,30796,1955,2071,2796,1837,1839,1863
0,255,64,30811,1945,2066,2777,1837,1840,1863
0,255,65,30843,1966,2075,2780,1836,1839,1863
0,255,66,30843,1940,2065,2808,1836,1840,1863
0,255,67,30889,1952,2068,2812,1837,1840,1864
0,255,68,30889,1960,2076,2792,1836,1839,1863
0,255,69,30921,1943,2069,2809,1838,1840,1864
0,255,70,30921,1960,2085,2808,1836,1839,1863
0,255,71,30952,1955,2067,2803,1836,1839,1863
0,255,72,30999,1947,2069,2795,1835,1840,1863
0,255,73,30999,1959,2076,2811,1836,1839,1863
0,255,74,30999,1974,2074,2801,1836,1840,1863
0,255,75,31030,1956,2084,2803,1836,1840,1865
0,255,76,31061,1961,2071,2786,1836,1839,1863
0,255,77,31061,1955,2079,2801,1836,1839,1864
