SensorID,DataType,SeqNo,TimeStamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
0,255,22,10647,1964,2055,2815,1833,1838,1861
0,255,23,10647,1960,2066,2821,1835,1837,1860
0,255,24,10647,1960,2074,2810,1833,1836,1860
0,255,25,10647,1936,2059,2813,1834,1838,1860
0,255,26,10647,1961,2074,2818,1834,1839,1861
0,255,27,10647,1966,2074,2798,1832,1837,1860
0,255,28,10647,1954,2086,2830,1831,1839,1861
0,255,29,10678,1959,2072,2824,1833,1838,1862
0,255,30,10678,1946,2081,2815,1833,1838,1861
0,255,31,10709,1965,2098,2806,1834,1838,1861
0,255,32,10741,1956,2095,2823,1833,1838,1860
0,255,33,10741,1952,2096,2820,1835,1838,1861
0,255,34,10772,1936,2071,2822,1835,1839,1861
0,255,35,10787,1958,2075,2811,1833,1838,1861
0,255,36,10803,1997,2077,2817,1833,1838,1861
0,255,37,10834,1963,2069,2819,1833,1837,1863
0,255,38,10834,1952,2081,2807,1833,1838,1861
0,255,39,10865,1976,2094,2829,1833,1838,1861
0,255,40,10881,1977,2086,2808,1833,1837,1860
0,255,41,10912,1943,2078,2833,1833,1838,1861
0,255,42,10912,1954,2085,2777,1834,1839,1862
0,255,43,10943,1953,2068,2825,1831,1838,1861
0,255,44,10959,1939,2085,2802,1833,1838,1861
0,255,45,10975,1943,2085,2830,1833,1838,1863
0,255,46,10990,1965,2093,2796,1833,1838,1861
0,255,47,11037,1932,2083,2820,1834,1839,1861
0,255,48,11037,1957,2087,2804,1832,1837,1860
0,255,49,11068,1949,2088,2805,1834,1839,1862
0,255,50,11068,1960,2081,2826,1833,1839,1862
0,255,51,11099,1948,2073,2818,1834,1837,1860
0,255,52,11115,1952,2078,2808,1833,1838,1861
0,255,53,11146,1967,2073,2822,1834,1837,1863
0,255,54,11162,1953,2069,2822,1833,1838,1861
0,255,55,11193,1966,2084,2813,1835,1839,1862
0,255,56,11193,1962,2089,2815,1833,1839,1861
0,255,57,11224,1947,2075,2812,1833,1837,1861
0,255,58,11224,1960,2086,2786,1833,1839,1863
0,255,59,11255,1962,2093,2824,1834,1839,1863
0,255,60,11271,1967,2084,2791,1832,1838,1861
0,255,61,11287,1951,2086,2809,1833,1838,1862
0,255,62,11302,1954,2089,2799,1833,1838,1861
0,255,63,11333,1936,2080,2815,1834,1839,1861
0,255,64,11349,1962,2092,2807,1835,1840,1863
0,255,65,11380,1934,2096,2811,1834,1839,1862
0,255,66,11380,1971,2080,2818,1833,1839,1861
0,255,67,11411,1953,2075,2810,1834,1838,1861
0,255,68,11443,1946,2096,2806,1832,1838,1860
0,255,69,11458,1965,2075,2807,1833,1838,1862
