SensorID,DataType,SeqNo,TimeStamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
0,255,234,37501,1947,2087,2813,1832,1838,1862
0,255,235,38141,1955,2085,2818,1832,1838,1861
0,255,236,38781,1943,2075,2814,1833,1840,1861
0,255,237,39421,1966,2085,2807,1832,1838,1860
0,255,238,40061,1952,2076,2838,1833,1837,1860
0,255,239,40701,1968,2086,2804,1833,1839,1862
0,255,240,41341,1954,2082,2815,1832,1838,1861
0,255,241,41981,1957,2071,2817,1832,1838,1861
0,255,242,42621,1963,2058,2809,1833,1838,1862
0,255,243,43261,1956,2098,2816,1832,1838,1860
0,255,244,43901,1947,2074,2820,1833,1839,1861
0,255,245,44541,1977,2087,2804,1832,1838,1860
0,255,246,45181,1962,2093,2806,1833,1837,1860
0,255,247,45821,1964,2070,2816,1831,1839,1862
0,255,248,46461,1943,2083,2811,1833,1839,1863
0,255,249,47101,1965,2080,2802,1832,1838,1860
0,255,250,47741,1952,2090,2818,1831,1837,1862
0,255,251,48381,1957,2071,2811,1832,1838,1861
0,255,252,49021,1958,2077,2822,1833,1840,1861
0,255,253,49661,1966,2083,2823,1832,1837,1860
0,255,254,50301,1942,2086,2816,1833,1838,1861
0,255,255,50941,1942,2078,2814,1831,1839,1861
0,255,0,51581,1943,2103,2804,1833,1838,1861
0,255,1,52221,1948,2090,2830,1830,1838,1859
0,255,2,52861,1957,2078,2820,1832,1838,1862
0,255,3,53501,1957,2079,2799,1833,1838,1860
0,255,4,54141,1964,2079,2823,1833,1840,1860
0,255,5,54781,1967,2084,2811,1832,1838,1859
0,255,6,55421,1953,2098,2795,1832,1838,1860
0,255,7,56061,1958,2070,2840,1832,1839,1862
0,255,8,56701,1957,2060,2786,1832,1838,1860
0,255,9,57341,1946,2094,2807,1832,1838,1859
0,255,10,57981,1972,2089,2804,1832,1838,1862
0,255,11,58621,1967,2065,2818,1833,1839,1862
0,255,12,59261,1959,2087,2811,1833,1838,1861
0,255,13,59901,1949,2070,2823,1832,1838,1861
0,255,14,60541,1952,2067,2811,1832,1838,1860
0,255,15,61181,1963,2074,2823,1832,1840,1862
0,255,16,61821,1944,2084,2823,1832,1839,1862
0,255,17,62461,1966,2089,2817,1832,1839,1859
0,255,18,63101,1950,2078,2810,1832,1838,1862
0,255,19,63741,1948,2081,2839,1831,1838,1861
0,255,20,64381,1942,2080,2817,1833,1839,1862
0,255,21,65021,1940,2074,2794,1831,1838,1860
0,255,22,125,1970,2085,2818,1833,1839,1861
0,255,23,765,1962,2097,2821,1831,1839,1862
0,255,24,1405,1946,2088,2814,1832,1838,1861
0,255,25,2045,1980,2089,2830,1832,1838,1860
0,255,26,2685,1953,2084,2813,1831,1838,1861
0,255,27,3325,1964,2080,2807,1833,1840,1862
0,255,28,3965,1960,2083,2827,1832,1839,1861
0,255,29,4605,1950,2081,2811,1831,1838,1859
0,255,30,5245,1968,2088,2810,1832,1838,1861
0,255,31,5885,1944,2071,2827,1831,1839,1862
0,255,32,6525,1963,2067,2810,1832,1839,1861
0,255,33,7165,1954,2098,2813,1832,1838,1860
0,255,34,7805,1944,2082,2808,1833,1840,1862
0,255,35,8445,1957,2067,2803,1832,1838,1860
0,255,36,9085,1955,2087,2803,1832,1839,1861
0,255,37,9725,1970,2083,2809,1831,1838,1860
0,255,38,10365,1966,2084,2816,1832,1839,1861
0,255,39,11005,1965,2087,2819,1830,1839,1861
0,255,40,11645,1952,2078,2805,1831,1837,1859
0,255,41,12285,1948,2091,2810,1832,1838,1860
0,255,42,12925,1966,2091,2812,1832,1839,1861
0,255,43,13565,1954,2088,2821,1832,1839,1860
0,255,44,14205,1963,2093,2817,1833,1840,1861
0,255,45,14845,1957,2079,2829,1831,1838,1860
0,255,46,15485,1976,2070,2833,1832,1839,1861
0,255,47,16125,1954,2084,2806,1832,1839,1862
0,255,48,16765,1953,2087,2819,1831,1839,1859
0,255,49,17405,1962,2077,2811,1832,1839,1862
0,255,50,18045,1943,2091,2806,1831,1838,1861
0,255,51,18685,1958,2080,2823,1831,1839,1860
0,255,52,19325,1962,2085,2812,1833,1840,1860
0,255,53,19965,1950,2088,2807,1831,1838,1860
0,255,54,20605,1963,2070,2807,1831,1839,1860
0,255,55,21245,1965,2104,2834,1831,1839,1862
0,255,56,21885,1934,2059,2832,1833,1841,1862
0,255,57,22525,1960,2079,2818,1832,1839,1862
0,255,58,23165,1963,2071,2812,1831,1839,1861
0,255,59,23805,1966,2093,2811,1831,1839,1861
0,255,60,24445,1966,2089,2814,1832,1840,1861
0,255,61,25085,1964,2073,2820,1831,1839,1860
0,255,62,25725,1949,2094,2811,1831,1840,1860
0,255,63,26365,1977,2080,2843,1831,1839,1861
0,255,64,27005,1968,2105,2790,1833,1841,1862
0,255,65,27645,1951,2077,2820,1832,1839,1861
0,255,66,28285,1934,2072,2827,1830,1839,1862
0,255,67,28925,1962,2086,2819,1831,1839,1860
0,255,68,29565,1953,2091,2817,1833,1840,1861
0,255,69,30205,1971,2090,2809,1831,1838,1859
0,255,70,30845,1957,2078,2810,1832,1839,1862
0,255,71,31485,1972,2084,2822,1831,1839,1862
0,255,72,32125,1970,2085,2819,1831,1840,1860
0,255,73,32765,1961,2082,2813,1833,1839,1860
0,255,74,33405,1944,2064,2810,1831,1839,1861
0,255,75,34045,1965,2089,2821,1831,1839,1861
0,255,76,34685,1961,2079,2824,1833,1840,1860
0,255,77,35325,1956,2079,2813,1831,1839,1859
0,255,78,35965,1941,2093,2812,1831,1840,1860
0,255,79,36605,1954,2120,2817,1831,1841,1862
0,255,80,37245,1958,2074,2802,1833,1841,1863
0,255,81,37885,1970,2083,2830,1833,1838,1860
0,255,82,38525,1949,2086,2829,1831,1840,1862
0,255,83,39165,1963,2072,2821,1831,1840,1861
0,255,84,39805,1942,2088,2813,1833,1840,1861
0,255,85,40445,1940,2088,2813,1831,1839,1861
0,255,86,41085,1972,2078,2794,1831,1839,1860
0,255,87,41725,1931,2074,2805,1831,1840,1862
0,255,88,42365,1970,2070,2820,1831,1840,1861
0,255,89,43005,1948,2087,2819,1832,1839,1862
0,255,90,43645,1950,2086,2831,1831,1840,1862
0,255,91,44285,1964,2070,2827,1832,1839,1861
0,255,92,44925,1956,2091,2810,1832,1840,1860
0,255,93,45565,1947,2073,2805,1832,1839,1860
0,255,94,46205,1939,2077,2833,1831,1840,1860
0,255,95,46845,1971,2074,2808,1833,1840,1861
0,255,96,47485,1957,2065,2816,1831,1839,1861
0,255,97,48125,1970,2088,2822,1831,1839,1861
0,255,98,48765,1954,2096,2818,1831,1838,1862
0,255,100,50045,1931,2110,2822,1833,1840,1860
0,255,101,50685,2029,2082,2803,1831,1839,1857
