SensorID,DataType,SeqNo,TimeStamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
0,255,158,43005,1950,2070,2810,1835,1838,1863
0,255,159,43645,1954,2067,2804,1835,1839,1864
0,255,160,44285,1955,2076,2803,1835,1838,1863
0,255,161,44925,1952,2093,2829,1836,1838,1862
0,255,162,45565,1943,2084,2811,1835,1838,1863
0,255,163,46205,1962,2080,2799,1835,1838,1863
0,255,164,46845,1940,2077,2797,1837,1839,1862
0,255,165,47485,1957,2072,2796,1834,1837,1862
0,255,166,48125,1946,2085,2801,1835,1838,1862
0,255,167,48765,1939,2089,2797,1835,1839,1864
0,255,169,50045,1950,2086,2807,1836,1838,1863
0,255,170,50685,1955,2097,2795,1835,1837,1862
0,255,171,51325,1940,2090,2792,1835,1839,1862
0,255,172,51965,1942,2088,2802,1837,1839,1863
0,255,173,52605,1947,2077,2795,1835,1837,1862
0,255,174,53245,1949,2082,2811,1835,1838,1862
0,255,175,53885,1953,2084,2790,1836,1839,1863
0,255,176,54525,1963,2084,2806,1835,1838,1862
0,255,177,55165,1940,2052,2792,1836,1838,1863
0,255,178,55805,1951,2083,2809,1835,1838,1863
0,255,179,56445,1945,2083,2810,1835,1838,1863
0,255,180,57085,1945,2075,2795,1836,1838,1862
0,255,181,57725,1950,2084,2807,1835,1838,1862
0,255,182,58365,1953,2071,2784,1835,1838,1862
0,255,183,59005,1962,2076,2805,1835,1838,1863
0,255,184,59645,1936,2092,2797,1835,1838,1863
0,255,185,60285,1930,2081,2811,1835,1838,1861
0,255,186,60925,1945,2079,2803,1835,1838,1863
0,255,187,61565,1952,2080,2827,1835,1838,1862
0,255,188,62205,1943,2068,2799,1836,1839,1863
0,255,189,62845,1931,2081,2799,1837,1839,1862
0,255,190,63485,1930,2082,2795,1835,1838,1863
0,255,191,64125,1935,2081,2798,1834,1839,1864
0,255,193,65405,1944,2086,2804,1835,1839,1862
0,255,194,509,1948,2074,2784,1834,1837,1863
0,255,195,1149,1938,2076,2818,1835,1837,1862
0,255,196,1789,1947,2070,2795,1836,1838,1863
0,255,197,2429,1944,2082,2809,1835,1837,1861
