SensorID,DataType,SeqNo,TimeStamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
0,255,12,40376,1954,2091,2809,1837,1838,1863
0,255,13,40376,1966,2078,2774,1838,1838,1863
0,255,14,40376,1947,2073,2800,1837,1839,1864
0,255,15,40376,1938,2076,2793,1836,1837,1863
0,255,16,40376,1963,2099,2804,1837,1838,1863
0,255,17,40376,1955,2070,2799,1836,1836,1864
0,255,18,40376,1949,2085,2803,1836,1838,1863
0,255,19,40407,1952,2068,2804,1835,1838,1863
0,255,20,40407,1950,2065,2813,1835,1837,1862
0,255,21,40438,1943,2071,2803,1838,1837,1864
0,255,22,40454,1954,2068,2800,1839,1838,1864
0,255,23,40485,1953,2071,2779,1838,1839,1865
0,255,24,40485,1940,2083,2804,1836,1838,1863
0,255,25,40516,1954,2077,2796,1836,1836,1864
0,255,26,40532,1946,2088,2808,1837,1837,1863
0,255,28,40579,1958,2075,2797,1836,1837,1862
0,255,29,40579,1950,2067,2806,1838,1837,1863
0,255,30,40610,1942,2083,2804,1837,1838,1864
0,255,31,40641,1964,2059,2787,1837,1838,1862
0,255,32,40657,1943,2083,2799,1838,1837,1863
0,255,33,40657,1959,2083,2792,1837,1837,1865
0,255,34,40704,1941,2074,2797,1837,1838,1863
0,255,35,40704,1953,2064,2783,1837,1839,1863
0,255,36,40750,1932,2082,2807,1838,1839,1865
0,255,37,40766,1961,2080,2770,1837,1837,1863
0,255,38,40766,1967,2068,2781,1837,1838,1864
0,255,39,40797,1942,2071,2798,1837,1837,1863
0,255,40,40797,1948,2080,2806,1836,1837,1863
0,255,41,40828,1946,2091,2783,1837,1838,1865
0,255,42,40828,1946,2082,2797,1837,1838,1863
0,255,43,40891,1955,2083,2787,1838,1838,1864
0,255,44,40891,1958,2081,2807,1837,1838,1863
0,255,45,40891,1956,2073,2785,1837,1837,1863
0,255,46,40938,1956,2074,2801,1837,1839,1864
0,255,47,40938,1945,2073,2767,1837,1838,1863
0,255,48,40969,1941,2083,2801,1837,1838,1864
0,255,49,40969,1939,2072,2789,1836,1837,1864
0,255,50,41000,1932,2088,2806,1837,1839,1863
0,255,51,41031,1960,2089,2791,1837,1838,1863
0,255,52,41031,1933,2076,2804,1837,1837,1862
0,255,53,41062,1952,2077,2775,1837,1838,1863
0,255,54,41094,1958,2074,2783,1836,1839,1864
0,255,55,41109,1960,2089,2779,1836,1838,1863
0,255,56,41109,1945,2100,2798,1838,1838,1864
0,255,57,41140,1948,2086,2800,1837,1838,1865
0,255,59,41172,1950,2081,2779,1838,1838,1863
0,255,60,41203,1953,2071,2811,1838,1839,1864
0,255,61,41218,1944,2068,2777,1836,1838,1863
0,255,62,41218,1943,2086,2800,1837,1839,1864
0,255,63,41265,1954,2072,2790,1836,1838,1864
0,255,64,41281,1945,2084,2789,1837,1838,1864
0,255,65,41296,1947,2074,2784,1835,1837,1863
0,255,66,41328,1952,2046,2804,1837,1839,1865
0,255,67,41343,1945,2072,2789,1838,1839,1863
0,255,68,41343,1968,2079,2791,1836,1836,1863
0,255,69,41374,1945,2076,2784,1836,1838,1863
0,255,70,41406,1946,2092,2799,1836,1839,1865
0,255,71,41406,1925,2084,2778,1836,1838,1863
0,255,72,41437,1928,2079,2800,1837,1839,1863
0,255,73,41452,1935,2078,2788,1836,1837,1865
0,255,74,41484,1932,2068,2807,1836,1838,1863
0,255,75,41484,1957,2076,2793,1837,1838,1863
0,255,76,41515,1950,2077,2805,1836,1838,1863
0,255,77,41530,1954,2080,2794,1836,1838,1863
0,255,78,41530,1939,2091,2798,1836,1839,1864
0,255,79,41562,1938,2060,2787,1837,1838,1863
0,255,80,41593,1961,2079,2805,1837,1838,1864
0,255,81,41608,1960,2084,2786,1835,1837,1863
0,255,82,41624,1946,2076,2808,1837,1838,1863
0,255,83,41640,1942,2048,2767,1837,1839,1864
0,255,84,41671,1954,2076,2821,1837,1839,1863
0,255,85,41671,1948,2072,2793,1836,1837,1863
0,255,86,41702,1941,2080,2798,1835,1839,1864
0,255,87,41718,1950,2079,2799,1837,1838,1864
0,255,88,41749,1950,2079,2809,1837,1839,1863
0,255,89,41780,1944,2083,2792,1835,1837,1863
0,255,90,41780,1958,2088,2797,1836,1838,1863
0,255,91,41811,1939,2081,2780,1837,1839,1863
0,255,92,41811,1966,2075,2776,1837,1837,1863
0,255,93,41842,1946,2086,2785,1837,1839,1863
0,255,94,41858,1950,2063,2793,1836,1839,1865
0,255,95,41889,1946,2060,2776,1837,1838,1863
0,255,96,41920,1946,2063,2809,1837,1838,1864
0,255,97,41936,1936,2082,2783,1836,1838,1864
0,255,98,41936,1934,2097,2810,1836,1838,1863
0,255,99,41952,1939,2094,2799,1837,1839,1863
0,255,100,41983,1952,2079,2772,1836,1838,1863
0,255,101,41998,1967,2084,2784,1836,1838,1863
0,255,102,42030,1944,2076,2806,1836,1839,1864
0,255,103,42030,1959,2067,2805,1836,1838,1863
0,255,104,42061,1948,2071,2795,1837,1839,1863
0,255,105,42092,1950,2081,2790,1835,1837,1863
0,255,106,42092,1953,2085,2782,1836,1839,1863
0,255,107,42139,1957,2086,2812,1837,1839,1863
0,255,108,42139,1946,2051,2792,1836,1839,1863
0,255,110,42170,1942,2082,2796,1836,1839,1865
0,255,111,42201,1948,2074,2801,1835,1838,1863
0,255,112,42201,1954,2068,2792,1838,1838,1864
0,255,113,42232,1951,2097,2796,1836,1839,1864
0,255,114,42264,1951,2064,2797,1835,1839,1863
0,255,115,42279,1941,2080,2796,1837,1840,1863
0,255,116,42279,1956,2069,2786,1837,1840,1864
0,255,117,42310,1941,2071,2788,1836,1838,1863
